"",BBK01.OEHI04H,BBK01.OEHI04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:43,
2002-01,11.618,
2002-04,11.309,
2002-07,11.300,
2002-10,11.109,
2003-01,10.634,
2003-04,10.207,
2003-07,9.879,
2003-10,9.580,
2004-01,8.809,
2004-04,8.292,
2004-07,8.068,
2004-10,8.118,
2005-01,7.736,
2005-04,7.542,
2005-07,7.460,
2005-10,7.799,
2006-01,7.921,
2006-04,8.188,
2006-07,9.050,
2006-10,9.494,
2007-01,10.009,
2007-04,10.557,
2007-07,11.871,
2007-10,12.594,
2008-01,13.426,
2008-04,14.499,
2008-07,16.026,
2008-10,18.193,
2009-01,13.767,
2009-04,10.279,
2009-07,8.452,
2009-10,8.054,
2010-01,6.875,
2010-04,6.376,
2010-07,6.326,
2010-10,6.661,
2011-01,6.180,
2011-04,5.869,
2011-07,6.169,
2011-10,6.859,
2012-01,6.202,
2012-04,5.321,
2012-07,4.879,
2012-10,4.221,
2013-01,3.996,
2013-04,3.575,
2013-07,3.480,
2013-10,3.374,
2014-01,3.204,
2014-04,2.929,
2014-07,3.089,
