"",BBK01.OECI02U,BBK01.OECI02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:31,
2002-01,1.170,
2002-04,1.324,
2002-07,1.408,
2002-10,1.479,
2003-01,1.330,
2003-04,1.290,
2003-07,1.277,
2003-10,1.453,
2004-01,1.372,
2004-04,1.417,
2004-07,1.391,
2004-10,1.422,
2005-01,1.614,
2005-04,1.595,
2005-07,1.646,
2005-10,1.806,
2006-01,1.689,
2006-04,1.624,
2006-07,1.638,
2006-10,1.670,
2007-01,1.571,
2007-04,1.745,
2007-07,1.691,
2007-10,1.926,
2008-01,1.831,
2008-04,1.768,
2008-07,1.859,
2008-10,2.166,
2009-01,2.038,
2009-04,2.026,
2009-07,2.136,
2009-10,2.135,
2010-01,2.129,
2010-04,2.105,
2010-07,2.199,
2010-10,2.329,
2011-01,2.235,
2011-04,2.285,
2011-07,2.434,
2011-10,2.675,
2012-01,2.452,
2012-04,2.453,
2012-07,2.534,
2012-10,2.714,
2013-01,2.605,
2013-04,2.598,
2013-07,2.679,
2013-10,2.787,
2014-01,2.641,
2014-04,2.719,
2014-07,2.873,
