"",BBNZ1.Q.DE.N.I.0106.A,BBNZ1.Q.DE.N.I.0106.A_FLAGS
"",Germany / National accounts / Use of GDP / Government consumption / Price index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:34,
1991-01,73.93,
1991-04,79.63,
1991-07,79.56,
1991-10,90.33,
1992-01,78.12,
1992-04,81.11,
1992-07,84.48,
1992-10,94.17,
1993-01,81.17,
1993-04,84.67,
1993-07,86.88,
1993-10,95.82,
1994-01,83.91,
1994-04,84.95,
1994-07,87.45,
1994-10,96.41,
1995-01,85.93,
1995-04,87.16,
1995-07,89.31,
1995-10,96.84,
1996-01,86.87,
1996-04,87.55,
1996-07,88.95,
1996-10,97.10,
1997-01,86.63,
1997-04,87.14,
1997-07,87.85,
1997-10,96.61,
1998-01,85.36,
1998-04,86.36,
1998-07,87.66,
1998-10,95.75,
1999-01,86.33,
1999-04,88.00,
1999-07,89.88,
1999-10,97.39,
2000-01,87.16,
2000-04,87.52,
2000-07,89.03,
2000-10,96.91,
2001-01,88.27,
2001-04,88.89,
2001-07,90.69,
2001-10,99.71,
2002-01,90.18,
2002-04,90.67,
2002-07,92.04,
2002-10,100.43,
2003-01,90.80,
2003-04,91.26,
2003-07,93.51,
2003-10,99.92,
2004-01,91.19,
2004-04,92.32,
2004-07,93.10,
2004-10,100.18,
2005-01,91.72,
2005-04,92.58,
2005-07,93.55,
2005-10,100.68,
2006-01,92.75,
2006-04,93.64,
2006-07,93.68,
2006-10,101.32,
2007-01,93.04,
2007-04,94.19,
2007-07,94.71,
2007-10,102.34,
2008-01,93.99,
2008-04,95.14,
2008-07,95.16,
2008-10,102.44,
2009-01,95.92,
2009-04,97.34,
2009-07,97.71,
2009-10,103.80,
2010-01,97.59,
2010-04,98.75,
2010-07,98.43,
2010-10,105.07,
2011-01,99.10,
2011-04,100.72,
2011-07,100.13,
2011-10,106.72,
2012-01,100.67,
2012-04,102.51,
2012-07,101.84,
2012-10,109.01,
2013-01,103.72,
2013-04,105.64,
2013-07,105.41,
2013-10,112.05,
2014-01,106.77,
2014-04,108.59,
2014-07,108.04,
2014-10,114.37,
