"",BBFN1.M.DE.N.1.A.JE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.JE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Jersey,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:57,
2002-12,0.000,
2003-01,0.214,
2003-02,0.280,
2003-03,0.305,
2003-04,0.211,
2003-05,0.185,
2003-06,0.212,
2003-07,0.384,
2003-08,0.302,
2003-09,0.272,
2003-10,0.340,
2003-11,0.396,
2003-12,0.162,
2004-01,0.499,
2004-02,2.262,
2004-03,2.217,
2004-04,2.209,
2004-05,2.129,
2004-06,2.018,
2004-07,2.320,
2004-08,0.416,
2004-09,0.387,
2004-10,0.226,
2004-11,0.171,
2004-12,0.125,
2005-01,0.070,
2005-02,0.116,
2005-03,0.105,
2005-04,0.106,
2005-05,0.042,
2005-06,0.120,
2005-07,0.056,
2005-08,0.068,
2005-09,0.063,
2005-10,0.061,
2005-11,0.066,
2005-12,0.085,
2006-01,0.160,
2006-02,0.165,
2006-03,0.124,
2006-04,0.068,
2006-05,0.054,
2006-06,0.063,
2006-07,0.072,
2006-08,0.169,
2006-09,0.270,
2006-10,0.313,
2006-11,0.230,
2006-12,0.062,
2007-01,0.094,
2007-02,0.086,
2007-03,0.092,
2007-04,0.204,
2007-05,.,No value available
2007-06,0.479,
2007-07,.,No value available
2007-08,.,No value available
2007-09,0.100,
2007-10,0.112,
2007-11,0.109,
2007-12,0.102,
2008-01,0.113,
2008-02,0.205,
2008-03,0.204,
2008-04,0.303,
2008-05,0.268,
2008-06,0.259,
2008-07,0.297,
2008-08,0.292,
2008-09,0.224,
2008-10,0.271,
2008-11,0.358,
2008-12,0.265,
2009-01,0.291,
2009-02,0.215,
2009-03,0.194,
2009-04,0.217,
2009-05,0.253,
2009-06,0.188,
2009-07,0.186,
2009-08,0.196,
2009-09,0.190,
2009-10,0.251,
2009-11,0.291,
2009-12,0.236,
2010-01,0.302,
2010-02,0.266,
2010-03,0.198,
2010-04,0.324,
2010-05,0.353,
2010-06,0.257,
2010-07,0.346,
2010-08,0.362,
2010-09,0.284,
2010-10,0.414,
2010-11,0.436,
2010-12,0.420,
2011-01,0.486,
2011-02,0.393,
2011-03,0.357,
2011-04,0.408,
2011-05,0.452,
2011-06,0.384,
2011-07,0.438,
2011-08,0.405,
2011-09,0.392,
2011-10,0.437,
2011-11,0.419,
2011-12,0.440,
2012-01,0.475,
2012-02,0.323,
2012-03,0.387,
2012-04,0.444,
2012-05,0.423,
2012-06,0.450,
2012-07,0.416,
2012-08,0.454,
2012-09,0.358,
2012-10,0.471,
2012-11,0.439,
2012-12,0.438,
2013-01,0.361,
2013-02,0.316,
2013-03,0.391,
2013-04,0.328,
2013-05,0.364,
2013-06,0.298,
2013-07,0.316,
2013-08,0.285,
2013-09,0.380,
2013-10,0.382,
2013-11,0.400,
2013-12,0.391,
2014-01,0.395,
2014-02,0.370,
2014-03,0.348,
2014-04,0.315,
2014-05,0.372,
2014-06,0.318,
2014-07,0.318,
2014-08,0.301,
2014-09,0.262,
2014-10,0.369,
2014-11,0.455,
2014-12,0.259,
