"",BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:03,
1991-01,45.277,
1991-04,135.866,
1991-07,150.115,
1991-10,181.508,
1992-01,119.032,
1992-04,161.144,
1992-07,121.495,
1992-10,344.769,
1993-01,82.899,
1993-04,60.507,
1993-07,63.300,
1993-10,228.700,
1994-01,210.337,
1994-04,203.889,
1994-07,445.733,
1994-10,780.963,
1995-01,327.613,
1995-04,774.303,
1995-07,351.968,
1995-10,635.438,
1996-01,963.160,
1996-04,1010.088,
1996-07,752.189,
1996-10,1216.133,
1997-01,132.521,
1997-04,-55.559,
1997-07,413.581,
1997-10,860.927,
1998-01,846.443,
1998-04,1358.302,
1998-07,863.535,
1998-10,573.977,
1999-01,420.989,
1999-04,927.282,
1999-07,643.590,
1999-10,1957.807,
2000-01,632.649,
2000-04,1619.575,
2000-07,1881.262,
2000-10,4164.622,
2001-01,694.066,
2001-04,2879.882,
2001-07,-75.882,
2001-10,95.642,
2002-01,852.250,
2002-04,995.144,
2002-07,716.233,
2002-10,488.414,
2003-01,1058.460,
2003-04,-745.467,
2003-07,-171.570,
2003-10,1126.108,
2004-01,1651.537,
2004-04,1915.158,
2004-07,282.314,
2004-10,1180.811,
2005-01,1388.124,
2005-04,2119.401,
2005-07,1004.179,
2005-10,-461.446,
2006-01,1341.930,
2006-04,2011.937,
2006-07,250.254,
2006-10,1117.014,
2007-01,4319.490,
2007-04,2334.082,
2007-07,1519.928,
2007-10,425.875,
2008-01,2656.424,
2008-04,2077.218,
2008-07,318.259,
2008-10,1563.075,
2009-01,108.017,
2009-04,847.585,
2009-07,2127.115,
2009-10,1398.518,
2010-01,5377.531,
2010-04,3862.598,
2010-07,658.943,
2010-10,3500.812,
2011-01,3806.996,
2011-04,3755.326,
2011-07,4109.045,
2011-10,3983.836,
2012-01,4553.548,
2012-04,2485.789,
2012-07,1491.340,
2012-10,1518.137,
2013-01,4234.194,
2013-04,2730.175,
2013-07,2193.453,
2013-10,4356.793,
2014-01,3610.804,Provisional value
2014-04,1379.665,Provisional value
2014-07,1877.882,Provisional value
2014-10,2016.383,Provisional value
