"",BBFN1.M.DE.N.1.L.AR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Argentina,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:02,
1982-09,0.011,
1982-10,0.012,
1982-11,0.011,
1982-12,0.013,
1983-01,0.012,
1983-02,0.012,
1983-03,0.012,
1983-04,0.017,
1983-05,0.016,
1983-06,0.015,
1983-07,0.018,
1983-08,0.018,
1983-09,0.020,
1983-10,0.019,
1983-11,0.019,
1983-12,0.019,
1984-01,0.021,
1984-02,0.016,
1984-03,0.021,
1984-04,0.021,
1984-05,0.024,
1984-06,0.024,
1984-07,0.026,
1984-08,0.027,
1984-09,0.022,
1984-10,0.028,
1984-11,0.028,
1984-12,0.029,
1985-01,0.029,
1985-02,0.022,
1985-03,0.022,
1985-04,0.024,
1985-05,0.021,
1985-06,0.022,
1985-07,0.020,
1985-08,0.018,
1985-09,0.018,
1985-10,0.017,
1985-11,0.017,
1985-12,0.025,
1986-01,0.029,
1986-02,0.030,
1986-03,0.026,
1986-04,0.027,
1986-05,0.029,
1986-06,0.022,
1986-07,0.024,
1986-08,0.019,
1986-09,0.019,
1986-10,0.021,
1986-11,0.020,
1986-12,0.021,
1987-01,0.021,
1987-02,0.020,
1987-03,0.018,
1987-04,0.018,
1987-05,0.018,
1987-06,0.018,
1987-07,0.018,
1987-08,0.018,
1987-09,0.018,
1987-10,0.019,
1987-11,0.016,
1987-12,0.022,
1988-01,0.022,
1988-02,0.022,
1988-03,0.020,
1988-04,0.018,
1988-05,0.019,
1988-06,0.019,
1988-07,0.019,
1988-08,0.022,
1988-09,0.020,
1988-10,0.018,
1988-11,0.021,
1988-12,0.021,
1989-01,0.021,
1989-02,0.021,
1989-03,0.020,
1989-04,0.024,
1989-05,0.024,
1989-06,0.024,
1989-07,0.024,
1989-08,0.029,
1989-09,0.026,
1989-10,0.031,
1989-11,0.035,
1989-12,0.038,
1990-01,0.038,
1990-02,0.032,
1990-03,0.036,
1990-04,0.028,
1990-05,0.069,
1990-06,0.066,
1990-07,0.067,
1990-08,0.069,
1990-09,0.066,
1990-10,0.066,
1990-11,0.064,
1990-12,0.066,
1991-01,0.066,
1991-02,0.067,
1991-03,0.079,
1991-04,0.080,
1991-05,0.075,
1991-06,0.079,
1991-07,0.077,
1991-08,0.081,
1991-09,0.087,
1991-10,0.087,
1991-11,0.090,
1991-12,0.069,
1992-01,0.073,
1992-02,0.070,
1992-03,0.066,
1992-04,0.065,
1992-05,0.066,
1992-06,0.068,
1992-07,0.072,
1992-08,0.072,
1992-09,0.070,
1992-10,0.066,
1992-11,0.068,
1992-12,0.074,
1993-01,0.067,
1993-02,0.067,
1993-03,0.065,
1993-04,0.067,
1993-05,0.078,
1993-06,0.078,
1993-07,0.079,
1993-08,0.081,
1993-09,0.082,
1993-10,0.088,
1993-11,0.084,
1993-12,0.081,
1994-01,0.077,
1994-02,0.073,
1994-03,0.072,
1994-04,0.073,
1994-05,0.075,
1994-06,0.080,
1994-07,0.077,
1994-08,0.076,
1994-09,0.098,
1994-10,0.096,
1994-11,0.098,
1994-12,0.102,
1995-01,0.099,
1995-02,0.123,
1995-03,0.097,
1995-04,0.099,
1995-05,0.096,
1995-06,0.094,
1995-07,0.096,
1995-08,0.104,
1995-09,0.095,
1995-10,0.120,
1995-11,0.152,
1995-12,0.092,
1996-01,0.115,
1996-02,0.111,
1996-03,0.102,
1996-04,0.100,
1996-05,0.095,
1996-06,0.088,
1996-07,0.092,
1996-08,0.076,
1996-09,0.096,
1996-10,0.079,
1996-11,0.078,
1996-12,0.082,
1997-01,0.084,
1997-02,0.089,
1997-03,0.088,
1997-04,0.074,
1997-05,0.081,
1997-06,0.066,
1997-07,0.071,
1997-08,0.070,
1997-09,0.069,
1997-10,0.057,
1997-11,0.064,
1997-12,0.070,
1998-01,0.074,
1998-02,0.063,
1998-03,0.069,
1998-04,0.078,
1998-05,0.063,
1998-06,0.084,
1998-07,0.133,
1998-08,0.112,
1998-09,0.101,
1998-10,0.114,
1998-11,0.096,
1998-12,0.111,
1999-01,0.099,
1999-02,0.077,
1999-03,0.081,
1999-04,0.110,
1999-05,0.106,
1999-06,0.106,
1999-07,0.075,
1999-08,0.071,
1999-09,0.074,
1999-10,0.076,
1999-11,0.087,
1999-12,0.094,
2000-01,0.120,
2000-02,0.089,
2000-03,0.094,
2000-04,0.103,
2000-05,0.112,
2000-06,0.103,
2000-07,0.110,
2000-08,0.116,
2000-09,0.139,
2000-10,0.237,
2000-11,0.179,
2000-12,0.183,
2001-01,0.184,
2001-02,0.188,
2001-03,0.191,
2001-04,0.207,
2001-05,0.187,
2001-06,0.188,
2001-07,0.184,
2001-08,0.178,
2001-09,0.185,
2001-10,0.104,
2001-11,0.105,
2001-12,0.101,
2002-01,0.107,
2002-02,0.128,
2002-03,0.069,
2002-04,0.068,
2002-05,0.069,
2002-06,0.071,
2002-07,0.085,
2002-08,0.084,
2002-09,0.122,
2002-10,0.101,
2002-11,0.106,
2002-12,0.082,
2003-01,0.068,
2003-02,0.082,
2003-03,0.080,
2003-04,0.095,
2003-05,0.065,
2003-06,0.082,
2003-07,0.094,
2003-08,0.096,
2003-09,0.110,
2003-10,0.114,
2003-11,0.133,
2003-12,0.166,
2004-01,0.139,
2004-02,0.146,
2004-03,0.176,
2004-04,0.181,
2004-05,0.164,
2004-06,0.130,
2004-07,0.140,
2004-08,0.151,
2004-09,0.163,
2004-10,0.170,
2004-11,0.164,
2004-12,0.167,
2005-01,0.129,
2005-02,0.135,
2005-03,0.143,
2005-04,0.131,
2005-05,0.139,
2005-06,0.142,
2005-07,0.153,
2005-08,0.155,
2005-09,0.167,
2005-10,0.185,
2005-11,0.142,
2005-12,0.156,
2006-01,0.156,
2006-02,0.162,
2006-03,0.159,
2006-04,0.173,
2006-05,0.178,
2006-06,0.185,
2006-07,0.193,
2006-08,0.193,
2006-09,0.184,
2006-10,0.189,
2006-11,0.196,
2006-12,0.150,
2007-01,0.169,
2007-02,0.166,
2007-03,0.158,
2007-04,0.209,
2007-05,0.181,
2007-06,0.174,
2007-07,0.165,
2007-08,0.164,
2007-09,0.175,
2007-10,0.167,
2007-11,0.161,
2007-12,0.147,
2008-01,0.156,
2008-02,0.142,
2008-03,0.146,
2008-04,0.153,
2008-05,0.124,
2008-06,0.116,
2008-07,0.122,
2008-08,0.126,
2008-09,0.137,
2008-10,0.142,
2008-11,0.103,
2008-12,0.113,
2009-01,0.116,
2009-02,0.122,
2009-03,0.131,
2009-04,0.113,
2009-05,0.139,
2009-06,0.124,
2009-07,0.119,
2009-08,0.139,
2009-09,0.146,
2009-10,0.153,
2009-11,0.139,
2009-12,0.134,
2010-01,0.130,
2010-02,0.128,
2010-03,0.136,
2010-04,0.132,
2010-05,0.120,
2010-06,0.108,
2010-07,0.105,
2010-08,0.118,
2010-09,0.120,
2010-10,0.132,
2010-11,0.145,
2010-12,0.130,
2011-01,0.114,
2011-02,0.102,
2011-03,0.118,
2011-04,0.120,
2011-05,0.113,
2011-06,0.103,
2011-07,0.103,
2011-08,0.101,
2011-09,0.107,
2011-10,0.102,
2011-11,0.098,
2011-12,0.096,
2012-01,0.089,
2012-02,0.081,
2012-03,0.087,
