"",BBK01.OEYB22H,BBK01.OEYB22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:37,
2002-01,0.065,
2002-04,0.038,
2002-07,0.068,
2002-10,1.211,
2003-01,0.269,
2003-04,0.232,
2003-07,0.334,
2003-10,2.197,
2004-01,2.610,
2004-04,0.187,
2004-07,2.236,
2004-10,0.738,
2005-01,0.401,
2005-04,0.891,
2005-07,0.471,
2005-10,1.113,
2006-01,0.395,
2006-04,0.494,
2006-07,0.220,
2006-10,0.673,
2007-01,1.557,
2007-04,1.692,
2007-07,1.191,
2007-10,0.789,
2008-01,0.672,
2008-04,0.752,
2008-07,1.734,
2008-10,0.572,
2009-01,1.343,
2009-04,1.234,
2009-07,1.114,
2009-10,1.732,
2010-01,1.808,
2010-04,1.888,
2010-07,2.278,
2010-10,65.626,
2011-01,41.530,
2011-04,26.157,
2011-07,14.921,
2011-10,6.602,
2012-01,6.602,
2012-04,6.526,
2012-07,6.732,
2012-10,7.200,
2013-01,5.686,
2013-04,4.277,
2013-07,4.683,
2013-10,4.422,
2014-01,4.285,
2014-04,3.720,
2014-07,4.489,
