"",BBK01.BQM306,BBK01.BQM306_FLAGS
"","Local government debt - of which securities other than shares, excl. financial derivates - of which long-term",
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:34,
2000-01,1220,
2000-04,1220,
2000-07,1220,
2000-10,1220,
2001-01,1220,
2001-04,1169,
2001-07,1169,
2001-10,1066,
2002-01,1066,
2002-04,1066,
2002-07,1066,
2002-10,1066,
2003-01,1015,
2003-04,1015,
2003-07,1015,
2003-10,811,
2004-01,940,
2004-04,914,
2004-07,863,
2004-10,812,
2005-01,722,
2005-04,722,
2005-07,722,
2005-10,466,
2006-01,466,
2006-04,260,
2006-07,260,
2006-10,256,
2007-01,256,
2007-04,256,
2007-07,256,
2007-10,256,
2008-01,256,
2008-04,256,
2008-07,256,
2008-10,214,
2009-01,114,
2009-04,114,
2009-07,114,
2009-10,219,
2010-01,305,Provisional value
2010-04,305,Provisional value
2010-07,305,Provisional value
2010-10,367,Provisional value
2011-01,367,Provisional value
2011-04,367,Provisional value
2011-07,367,Provisional value
2011-10,381,Provisional value
2012-01,381,Provisional value
2012-04,381,Provisional value
2012-07,381,Provisional value
2012-10,423,Provisional value
2013-01,423,Provisional value
2013-04,523,Provisional value
2013-07,523,Provisional value
2013-10,646,Provisional value
2014-01,1046,Provisional value
2014-04,1046,Provisional value
2014-07,1046,Provisional value
