"",BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:47,
1991-01,74.319,
1991-04,-5.589,
1991-07,27.685,
1991-10,-20.239,
1992-01,5.046,
1992-04,-6.259,
1992-07,-6.243,
1992-10,18.741,
1993-01,-70.285,
1993-04,-17.394,
1993-07,-7.042,
1993-10,15.393,
1994-01,-5.710,
1994-04,6.066,
1994-07,22.991,
1994-10,15.772,
1995-01,-6.166,
1995-04,6.800,
1995-07,24.580,
1995-10,20.050,
1996-01,1.355,
1996-04,-13.694,
1996-07,-9.363,
1996-10,9.762,
1997-01,-10.264,
1997-04,28.074,
1997-07,-19.834,
1997-10,-17.544,
1998-01,-5.760,
1998-04,10.352,
1998-07,-61.893,
1998-10,58.913,
1999-01,9.498,
1999-04,69.361,
1999-07,7.207,
1999-10,-22.577,
2000-01,-14.461,
2000-04,16.425,
2000-07,5.981,
2000-10,126.782,
2001-01,113.660,
2001-04,9.374,
2001-07,44.001,
2001-10,13.064,
2002-01,-5.338,
2002-04,-1.811,
2002-07,-40.049,
2002-10,-58.805,
2003-01,85.903,
2003-04,38.238,
2003-07,-62.612,
2003-10,35.044,
2004-01,-19.113,
2004-04,27.226,
2004-07,10.390,
2004-10,-41.017,
2005-01,-37.246,
2005-04,1004.630,
2005-07,34.118,
2005-10,30.250,
2006-01,32.681,
2006-04,-109.797,
2006-07,1.233,
2006-10,336.863,
2007-01,42.302,
2007-04,39.606,
2007-07,290.095,
2007-10,380.146,
2008-01,67.071,
2008-04,-167.195,
2008-07,100.986,
2008-10,68.456,
2009-01,39.011,
2009-04,547.612,
2009-07,-20.658,
2009-10,-104.488,
2010-01,251.640,
2010-04,973.382,
2010-07,-88.794,
2010-10,126.994,
2011-01,339.685,
2011-04,-300.344,
2011-07,291.270,
2011-10,-20.345,
2012-01,-141.566,
2012-04,-105.430,
2012-07,433.528,
2012-10,-1254.457,
2013-01,62.054,
2013-04,-100.707,
2013-07,-49.739,
2013-10,-19.480,
2014-01,-82.678,Provisional value
2014-04,16.511,Provisional value
2014-07,-37.490,Provisional value
2014-10,-62.414,Provisional value
