"",BBK01.OECO03K,BBK01.OECO03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:34,
2002-01,0.307,
2002-04,0.479,
2002-07,0.130,
2002-10,0.131,
2003-01,0.168,
2003-04,0.164,
2003-07,0.148,
2003-10,0.166,
2004-01,0.220,
2004-04,0.147,
2004-07,0.172,
2004-10,0.314,
2005-01,0.647,
2005-04,0.378,
2005-07,0.450,
2005-10,0.561,
2006-01,0.600,
2006-04,0.490,
2006-07,0.491,
2006-10,0.507,
2007-01,0.665,
2007-04,0.490,
2007-07,0.443,
2007-10,0.450,
2008-01,0.473,
2008-04,0.437,
2008-07,0.464,
2008-10,0.538,
2009-01,0.494,
2009-04,0.387,
2009-07,0.575,
2009-10,0.676,
2010-01,0.592,
2010-04,0.493,
2010-07,0.332,
2010-10,0.363,
2011-01,0.493,
2011-04,0.516,
2011-07,0.510,
2011-10,0.414,
2012-01,0.468,
2012-04,0.398,
2012-07,0.368,
2012-10,0.363,
2013-01,0.697,
2013-04,0.337,
2013-07,0.334,
2013-10,0.271,
2014-01,0.226,
2014-04,0.212,
2014-07,0.184,
