"",BBK01.OEAA34G,BBK01.OEAA34G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:33,
2002-01,8.714,
2002-04,9.043,
2002-07,9.244,
2002-10,9.131,
2003-01,8.804,
2003-04,8.776,
2003-07,9.020,
2003-10,8.724,
2004-01,8.502,
2004-04,8.286,
2004-07,8.323,
2004-10,7.964,
2005-01,7.023,
2005-04,7.038,
2005-07,7.183,
2005-10,7.002,
2006-01,6.714,
2006-04,6.724,
2006-07,6.853,
2006-10,6.695,
2007-01,6.589,
2007-04,6.405,
2007-07,6.416,
2007-10,6.402,
2008-01,6.373,
2008-04,6.468,
2008-07,6.296,
2008-10,6.791,
2009-01,7.037,
2009-04,7.232,
2009-07,7.193,
2009-10,7.076,
2010-01,7.195,
2010-04,7.430,
2010-07,7.511,
2010-10,7.226,
2011-01,7.178,
2011-04,7.230,
2011-07,7.128,
2011-10,6.983,
2012-01,6.715,
2012-04,6.782,
2012-07,6.656,
2012-10,6.583,
2013-01,6.427,
2013-04,6.302,
2013-07,6.298,
2013-10,5.788,
2014-01,5.732,
2014-04,5.919,
2014-07,5.558,
