"",BBK01.OEAA40I,BBK01.OEAA40I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:22,
2002-01,0.150,
2002-04,0.127,
2002-07,0.114,
2002-10,0.113,
2003-01,0.113,
2003-04,0.103,
2003-07,0.143,
2003-10,0.135,
2004-01,0.132,
2004-04,0.129,
2004-07,0.120,
2004-10,0.118,
2005-01,0.117,
2005-04,0.113,
2005-07,0.112,
2005-10,0.114,
2006-01,0.127,
2006-04,0.269,
2006-07,0.289,
2006-10,0.279,
2007-01,0.273,
2007-04,0.245,
2007-07,0.223,
2007-10,0.216,
2008-01,0.163,
2008-04,0.142,
2008-07,0.134,
2008-10,0.130,
2009-01,0.084,
2009-04,0.074,
2009-07,0.072,
2009-10,0.071,
2010-01,0.083,
2010-04,0.077,
2010-07,0.052,
2010-10,0.052,
2011-01,0.042,
2011-04,0.033,
2011-07,0.031,
2011-10,0.030,
2012-01,0.024,
2012-04,0.019,
2012-07,0.016,
2012-10,0.015,
2013-01,0.013,
2013-04,0.014,
2013-07,0.013,
2013-10,0.012,
2014-01,0.011,
2014-04,0.011,
2014-07,0.011,
