"",BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:27,
1991-01,-3.388,
1991-04,-1.157,
1991-07,-1.157,
1991-10,-1.157,
1992-01,-1.070,
1992-04,-0.715,
1992-07,-0.715,
1992-10,-0.834,
1993-01,2.858,
1993-04,2.868,
1993-07,2.833,
1993-10,2.868,
1994-01,-18.036,
1994-04,-17.957,
1994-07,-19.268,
1994-10,-17.957,
1995-01,18.607,
1995-04,18.607,
1995-07,18.607,
1995-10,18.607,
1996-01,-41.826,
1996-04,-41.826,
1996-07,-41.826,
1996-10,-41.826,
1997-01,71.838,
1997-04,71.838,
1997-07,71.838,
1997-10,54.917,
1998-01,17.524,
1998-04,25.395,
1998-07,25.564,
1998-10,22.352,
1999-01,6.000,
1999-04,6.000,
1999-07,6.000,
1999-10,3.439,
2000-01,-6.000,
2000-04,-14.608,
2000-07,-5.000,
2000-10,-6.000,
2001-01,-8.374,
2001-04,-27.706,
2001-07,-18.696,
2001-10,-3.369,
2002-01,8.422,
2002-04,-19.498,
2002-07,-1.374,
2002-10,2.707,
2003-01,-0.170,
2003-04,-25.566,
2003-07,16.597,
2003-10,16.268,
2004-01,29.193,
2004-04,-18.680,
2004-07,-24.489,
2004-10,32.230,
2005-01,37.425,
2005-04,12.683,
2005-07,-32.454,
2005-10,38.135,
2006-01,19.485,
2006-04,22.636,
2006-07,-16.294,
2006-10,26.921,
2007-01,43.329,
2007-04,2.726,
2007-07,30.748,
2007-10,20.138,
2008-01,79.780,
2008-04,-49.270,
2008-07,-36.739,
2008-10,48.264,
2009-01,22.185,
2009-04,-16.015,
2009-07,-102.502,
2009-10,36.866,
2010-01,-15.843,
2010-04,-127.058,
2010-07,-65.721,
2010-10,-40.051,
2011-01,-94.743,
2011-04,-114.491,
2011-07,-114.175,
2011-10,-115.858,
2012-01,-160.373,
2012-04,-103.587,
2012-07,-100.537,
2012-10,-98.351,
2013-01,9.939,
2013-04,3.473,
2013-07,-22.238,
2013-10,-25.136,
2014-01,9.436,Provisional value
2014-04,8.219,Provisional value
2014-07,-12.812,Provisional value
2014-10,-6.010,Provisional value
