"",BBK01.CEHL02,BBK01.CEHL02_FLAGS
"",Mutual funds shares debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:11,
1991-01,2.1,
1991-04,2.1,
1991-07,2.2,
1991-10,2.6,
1992-01,3.6,
1992-04,2.0,
1992-07,2.6,
1992-10,4.1,
1993-01,2.9,
1993-04,2.5,
1993-07,4.6,
1993-10,8.2,
1994-01,3.9,
1994-04,2.9,
1994-07,2.8,
1994-10,4.0,
1995-01,3.6,
1995-04,2.2,
1995-07,3.0,
1995-10,6.2,
1996-01,9.0,
1996-04,5.2,
1996-07,3.7,
1996-10,9.6,
1997-01,10.9,
1997-04,10.3,
1997-07,9.3,
1997-10,13.4,
1998-01,14.0,
1998-04,10.4,
1998-07,12.4,
1998-10,18.0,
1999-01,12.2,
1999-04,11.5,
1999-07,6.1,
1999-10,19.3,
2000-01,10.7,
2000-04,12.4,
2000-07,10.9,
2000-10,15.7,
2001-01,11.6,
2001-04,3.2,
2001-07,4.0,
2001-10,19.2,
2002-01,4.3,
2002-04,9.9,
2002-07,0.4,
2002-10,12.7,
2003-01,0.3,
2003-04,2.8,
2003-07,3.4,
2003-10,2.5,
2004-01,5.2,
2004-04,-0.1,
2004-07,-4.6,
2004-10,7.3,
2005-01,16.1,
2005-04,9.4,
2005-07,13.3,
2005-10,17.1,
2006-01,18.6,
2006-04,2.4,
2006-07,13.4,
2006-10,33.1,
2007-01,2.6,
2007-04,9.6,
2007-07,-3.2,
2007-10,-6.3,
2008-01,8.9,
2008-04,-8.1,
2008-07,1.2,
2008-10,5.3,
2009-01,2.9,
2009-04,4.8,
2009-07,6.4,
2009-10,17.6,
2010-01,21.9,
2010-04,13.9,
2010-07,14.2,
2010-10,17.1,
2011-01,12.8,
2011-04,22.4,
2011-07,0.1,
2011-10,20.2,
2012-01,31.5,
2012-04,8.4,
2012-07,22.1,
2012-10,34.4,
2013-01,35.6,
2013-04,5.2,
2013-07,23.0,
2013-10,26.4,
2014-01,22.5,
