"",BBFB1.Q.N.DE.DK.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:19,
1991-01,215.883,
1991-04,152.000,
1991-07,34.530,
1991-10,-17.186,
1992-01,53.923,
1992-04,-49.859,
1992-07,-65.106,
1992-10,-144.525,
1993-01,340.335,
1993-04,150.368,
1993-07,-132.145,
1993-10,-3.763,
1994-01,417.842,
1994-04,296.351,
1994-07,131.944,
1994-10,114.514,
1995-01,433.843,
1995-04,352.869,
1995-07,117.900,
1995-10,339.555,
1996-01,467.865,
1996-04,161.532,
1996-07,7.140,
1996-10,194.586,
1997-01,541.347,
1997-04,494.667,
1997-07,93.111,
1997-10,173.131,
1998-01,462.527,
1998-04,519.922,
1998-07,326.423,
1998-10,595.934,
1999-01,520.946,
1999-04,514.160,
1999-07,284.875,
1999-10,401.783,
2000-01,285.602,
2000-04,514.905,
2000-07,64.165,
2000-10,169.646,
2001-01,809.358,
2001-04,999.793,
2001-07,631.729,
2001-10,711.402,
2002-01,854.068,
2002-04,995.130,
2002-07,822.982,
2002-10,735.439,
2003-01,627.123,
2003-04,564.520,
2003-07,411.180,
2003-10,382.421,
2004-01,458.862,
2004-04,615.338,
2004-07,468.065,
2004-10,623.382,
2005-01,1024.482,
2005-04,992.561,
2005-07,816.837,
2005-10,1254.178,
2006-01,1325.365,
2006-04,1936.828,
2006-07,1579.574,
2006-10,1971.021,
2007-01,1878.527,
2007-04,1793.534,
2007-07,1762.660,
2007-10,1924.072,
2008-01,2497.631,
2008-04,1968.909,
2008-07,1248.736,
2008-10,1168.148,
2009-01,1551.272,
2009-04,1348.175,
2009-07,759.536,
2009-10,745.647,
2010-01,1651.464,
2010-04,1588.748,
2010-07,1270.471,
2010-10,1912.548,
2011-01,1660.750,
2011-04,1838.424,
2011-07,1502.007,
2011-10,1155.736,
2012-01,1702.305,
2012-04,1610.890,
2012-07,1371.469,
2012-10,1663.975,
2013-01,1806.099,
2013-04,1954.933,
2013-07,1521.454,
2013-10,1913.161,
2014-01,1686.283,Provisional value
2014-04,2017.348,Provisional value
2014-07,1669.272,Provisional value
