"",BBK01.OEAC51V,BBK01.OEAC51V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:09,
2002-01,0.327,
2002-04,0.323,
2002-07,0.330,
2002-10,0.327,
2003-01,0.328,
2003-04,0.324,
2003-07,0.330,
2003-10,0.316,
2004-01,0.307,
2004-04,0.312,
2004-07,0.317,
2004-10,0.311,
2005-01,0.315,
2005-04,0.315,
2005-07,0.323,
2005-10,0.331,
2006-01,0.342,
2006-04,0.348,
2006-07,0.355,
2006-10,0.379,
2007-01,0.391,
2007-04,0.410,
2007-07,0.427,
2007-10,0.439,
2008-01,0.449,
2008-04,0.453,
2008-07,0.464,
2008-10,0.477,
2009-01,0.473,
2009-04,0.475,
2009-07,0.489,
2009-10,0.449,
2010-01,0.486,
2010-04,0.488,
2010-07,0.509,
2010-10,0.517,
2011-01,0.524,
2011-04,0.534,
2011-07,0.553,
2011-10,0.569,
2012-01,0.569,
2012-04,0.584,
2012-07,0.604,
2012-10,0.619,
2013-01,0.621,
2013-04,0.632,
2013-07,0.650,
2013-10,0.659,
2014-01,0.678,
2014-04,0.703,
2014-07,0.741,
