"",BBK01.QUV890,BBK01.QUV890_FLAGS
"",Banks in Germany: Long-term loans and advances to foreign banks / Turkmenistan / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:27:29,
2001-12,0.439,
2002-01,0.424,
2002-02,0.407,
2002-03,0.389,
2002-04,0.339,
2002-05,0.347,
2002-06,0.342,
2002-07,0.338,
2002-08,0.329,
2002-09,0.316,
2002-10,0.310,
2002-11,0.309,
2002-12,0.302,
2003-01,0.310,
2003-02,0.304,
2003-03,0.297,
2003-04,0.295,
2003-05,0.288,
2003-06,0.293,
2003-07,0.290,
2003-08,0.299,
2003-09,0.304,
2003-10,0.304,
2003-11,0.299,
2003-12,0.270,
2004-01,0.269,
2004-02,0.262,
2004-03,0.247,
2004-04,0.248,
2004-05,0.244,
2004-06,0.245,
2004-07,0.254,
2004-08,0.252,
2004-09,0.256,
2004-10,0.259,
2004-11,0.265,
2004-12,0.268,
2005-01,0.267,
2005-02,0.263,
2005-03,0.260,
2005-04,0.264,
2005-05,0.262,
2005-06,0.266,
2005-07,0.265,
2005-08,0.258,
2005-09,0.264,
2005-10,0.255,
2005-11,0.254,
2005-12,0.256,
2006-01,0.254,
2006-02,0.245,
2006-03,0.239,
2006-04,0.237,
2006-05,0.232,
2006-06,0.233,
2006-07,0.231,
2006-08,0.223,
2006-09,0.218,
2006-10,0.217,
2006-11,0.213,
2006-12,0.213,
2007-01,0.212,
2007-02,0.202,
2007-03,0.195,
2007-04,0.193,
2007-05,0.189,
2007-06,0.187,
2007-07,0.186,
2007-08,0.179,
2007-09,0.169,
2007-10,0.168,
2007-11,0.166,
2007-12,0.165,
2008-01,0.165,
2008-02,0.159,
2008-03,0.150,
2008-04,0.149,
2008-05,0.149,
2008-06,0.159,
2008-07,0.159,
2008-08,0.150,
2008-09,0.143,
2008-10,0.144,
2008-11,0.145,
2008-12,0.143,
2009-01,0.144,
2009-02,0.135,
2009-03,0.125,
2009-04,0.124,
2009-05,0.124,
2009-06,0.124,
2009-07,0.124,
2009-08,0.116,
2009-09,0.107,
2009-10,0.106,
2009-11,0.106,
2009-12,0.106,
2010-01,0.107,
2010-02,0.101,
2010-03,0.091,
2010-04,0.091,
2010-05,0.091,
2010-06,0.091,
2010-07,0.091,
2010-08,0.083,
2010-09,0.072,
2010-10,0.072,
2010-11,0.072,
2010-12,0.072,
2011-01,0.072,
2011-02,0.064,
2011-03,0.058,
2011-04,0.058,
2011-05,0.058,
2011-06,0.058,
2011-07,0.058,
2011-08,0.058,
2011-09,0.050,
2011-10,0.050,
2011-11,0.050,
2011-12,0.050,
2012-01,0.050,
2012-02,0.050,
2012-03,0.046,
2012-04,0.046,
2012-05,0.046,
2012-06,0.046,
2012-07,0.046,
2012-08,0.046,
2012-09,0.040,
2012-10,0.040,
2012-11,0.040,
2012-12,0.040,
2013-01,0.040,
2013-02,0.040,
2013-03,0.032,
2013-04,0.032,
2013-05,0.032,
2013-06,0.032,
2013-07,0.032,
2013-08,0.032,
2013-09,0.026,
2013-10,0.026,
2013-11,0.026,
2013-12,0.026,
2014-01,0.026,
2014-02,0.026,
2014-03,0.020,
2014-04,0.020,
2014-05,0.020,
2014-06,0.020,
2014-07,0.020,
2014-08,0.020,
2014-09,0.014,
2014-10,0.014,
2014-11,0.014,
2014-12,0.014,
