"",BBQFS.M.DE.BANK.CBC.W1.0000,BBQFS.M.DE.BANK.CBC.W1.0000_FLAGS
"",Cross-border claims of German banks (FSR 2014),
unit,¤ (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-07 17:09:33,
2002-03,2403.57,
2002-04,2382.04,
2002-05,2326.60,
2002-06,2158.86,
2002-07,2178.62,
2002-08,2205.86,
2002-09,2212.99,
2002-10,2238.06,
2002-11,2285.46,
2002-12,2081.01,
2003-01,2119.27,
2003-02,2149.64,
2003-03,2117.81,
2003-04,2155.33,
2003-05,2165.79,
2003-06,2191.30,
2003-07,2170.75,
2003-08,2135.64,
2003-09,2125.20,
2003-10,2129.22,
2003-11,2112.02,
2003-12,2042.76,
2004-01,2157.83,
2004-02,2203.61,
2004-03,2287.34,
2004-04,2322.78,
2004-05,2287.97,
2004-06,2272.83,
2004-07,2299.02,
2004-08,2296.26,
2004-09,2316.05,
2004-10,2358.21,
2004-11,2420.94,
2004-12,2352.29,
2005-01,2451.40,
2005-02,2517.76,
2005-03,2510.91,
2005-04,2592.78,
2005-05,2635.67,
2005-06,2640.76,
2005-07,2622.47,
2005-08,2617.92,
2005-09,2627.68,
2005-10,2687.22,
2005-11,2764.92,
2005-12,2369.50,
2006-01,2504.32,
2006-02,2573.13,
2006-03,2601.16,
2006-04,2616.85,
2006-05,2613.20,
2006-06,2574.51,
2006-07,2571.26,
2006-08,2575.81,
2006-09,2628.16,
2006-10,2673.91,
2006-11,2720.61,
2006-12,2689.54,
2007-01,2813.83,
2007-02,2880.67,
2007-03,2879.86,
2007-04,2917.42,
2007-05,3003.59,
2007-06,3046.37,
2007-07,3096.43,
2007-08,3018.42,
2007-09,3006.30,
2007-10,3009.27,
2007-11,3039.47,
2007-12,2976.69,
2008-01,3062.27,
2008-02,3026.77,
2008-03,2973.56,
2008-04,2989.27,
2008-05,3006.13,
2008-06,2899.57,
2008-07,2914.06,
2008-08,2950.94,
2008-09,3005.53,
2008-10,3043.91,
2008-11,2888.11,
2008-12,2589.76,
2009-01,2708.72,
2009-02,2649.98,
2009-03,2532.60,
2009-04,2578.77,
2009-05,2512.56,
2009-06,2449.62,
2009-07,2439.28,
2009-08,2427.65,
2009-09,2379.25,
2009-10,2423.00,
2009-11,2414.55,
2009-12,2292.47,
2010-01,2401.87,
2010-02,2406.81,
2010-03,2371.52,
2010-04,2517.10,
2010-05,2545.22,
2010-06,2495.03,
2010-07,2422.70,
2010-08,2452.99,
2010-09,2346.79,
2010-10,2356.59,
2010-11,2405.74,
2010-12,2244.08,
2011-01,2271.37,
2011-02,2293.35,
2011-03,2200.18,
2011-04,2258.92,
2011-05,2298.79,
2011-06,2209.85,
2011-07,2213.47,
2011-08,2250.39,
2011-09,2290.54,
2011-10,2232.77,
2011-11,2250.21,
2011-12,2158.94,
2012-01,2198.45,
2012-02,2213.07,
2012-03,2110.12,
2012-04,2168.89,
2012-05,2255.62,
2012-06,2150.04,
2012-07,2208.08,
2012-08,2168.36,
2012-09,2173.85,
2012-10,2137.25,
2012-11,2136.93,
2012-12,2033.26,
2013-01,2083.46,
2013-02,2128.06,
2013-03,2122.60,
2013-04,2141.34,
2013-05,2162.81,
2013-06,2063.01,
2013-07,2056.26,
2013-08,2070.24,
2013-09,2049.77,
2013-10,2097.71,
2013-11,2086.75,
2013-12,1946.34,
2014-01,2090.17,
2014-02,2106.53,
2014-03,2045.97,
2014-04,2053.85,
2014-05,2113.37,
2014-06,2087.58,
2014-07,2189.35,
2014-08,2141.24,
"",Methodology: As definded in the consolidated banking statistics of the Bank for International Settlements (including foreign branches and subsidiaries.,
