"",BBK01.OEAL08N,BBK01.OEAL08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:42,
2002-01,122.462,
2002-04,120.758,
2002-07,120.178,
2002-10,125.802,
2003-01,127.948,
2003-04,128.242,
2003-07,129.426,
2003-10,132.584,
2004-01,132.924,
2004-04,132.782,
2004-07,132.994,
2004-10,99.874,
2005-01,107.415,
2005-04,107.335,
2005-07,106.866,
2005-10,107.352,
2006-01,107.058,
2006-04,105.586,
2006-07,102.947,
2006-10,101.276,
2007-01,98.316,
2007-04,95.827,
2007-07,93.271,
2007-10,93.087,
2008-01,91.594,
2008-04,90.257,
2008-07,88.037,
2008-10,89.548,
2009-01,92.277,
2009-04,94.879,
2009-07,98.115,
2009-10,102.387,
2010-01,105.224,
2010-04,106.679,
2010-07,108.106,
2010-10,110.954,
2011-01,111.894,
2011-04,110.511,
2011-07,108.946,
2011-10,109.953,
2012-01,110.115,
2012-04,109.679,
2012-07,109.889,
2012-10,111.173,
2013-01,110.995,
2013-04,111.066,
2013-07,111.079,
2013-10,112.328,
2014-01,112.136,
2014-04,111.365,
2014-07,111.185,
