"",BBK01.OEAD16P,BBK01.OEAD16P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:02,
2002-01,0.076,
2002-04,0.080,
2002-07,0.083,
2002-10,0.077,
2003-01,0.062,
2003-04,0.062,
2003-07,0.046,
2003-10,0.041,
2004-01,0.036,
2004-04,0.036,
2004-07,0.037,
2004-10,0.034,
2005-01,0.033,
2005-04,0.041,
2005-07,0.040,
2005-10,0.031,
2006-01,0.036,
2006-04,0.054,
2006-07,0.055,
2006-10,0.044,
2007-01,0.038,
2007-04,0.038,
2007-07,0.051,
2007-10,0.024,
2008-01,0.055,
2008-04,0.035,
2008-07,0.038,
2008-10,0.035,
2009-01,0.043,
2009-04,0.043,
2009-07,0.045,
2009-10,0.038,
2010-01,0.042,
2010-04,0.042,
2010-07,0.069,
2010-10,0.055,
2011-01,0.052,
2011-04,0.074,
2011-07,0.075,
2011-10,0.046,
2012-01,0.053,
2012-04,0.059,
2012-07,0.062,
2012-10,0.053,
2013-01,0.049,
2013-04,0.056,
2013-07,0.051,
2013-10,0.043,
2014-01,0.055,
2014-04,0.058,
2014-07,0.068,
