"",BBK01.OEBJ01R,BBK01.OEBJ01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:07,
2002-01,0.840,
2002-04,0.849,
2002-07,0.881,
2002-10,0.943,
2003-01,0.825,
2003-04,0.895,
2003-07,0.843,
2003-10,0.945,
2004-01,0.847,
2004-04,0.867,
2004-07,0.912,
2004-10,1.001,
2005-01,0.892,
2005-04,0.857,
2005-07,0.941,
2005-10,1.055,
2006-01,0.949,
2006-04,1.022,
2006-07,1.054,
2006-10,1.152,
2007-01,1.117,
2007-04,1.200,
2007-07,1.244,
2007-10,1.229,
2008-01,1.313,
2008-04,1.220,
2008-07,1.340,
2008-10,1.418,
2009-01,1.433,
2009-04,1.411,
2009-07,1.548,
2009-10,1.954,
2010-01,1.824,
2010-04,1.863,
2010-07,1.939,
2010-10,2.013,
2011-01,1.903,
2011-04,1.885,
2011-07,1.937,
2011-10,1.945,
2012-01,1.966,
2012-04,2.072,
2012-07,2.361,
2012-10,2.358,
2013-01,2.404,
2013-04,2.388,
2013-07,2.535,
2013-10,2.521,
2014-01,2.472,
2014-04,2.539,
2014-07,2.598,
