"",BBK01.OEHL04J,BBK01.OEHL04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:48,
2002-01,0.264,
2002-04,0.259,
2002-07,0.255,
2002-10,0.243,
2003-01,0.225,
2003-04,0.210,
2003-07,0.208,
2003-10,0.180,
2004-01,0.156,
2004-04,0.145,
2004-07,0.129,
2004-10,0.120,
2005-01,0.103,
2005-04,0.082,
2005-07,0.065,
2005-10,0.056,
2006-01,0.046,
2006-04,0.052,
2006-07,0.048,
2006-10,0.048,
2007-01,0.042,
2007-04,0.042,
2007-07,0.062,
2007-10,0.085,
2008-01,0.115,
2008-04,0.150,
2008-07,0.177,
2008-10,0.212,
2009-01,0.145,
2009-04,0.103,
2009-07,0.065,
2009-10,0.036,
2010-01,0.028,
2010-04,0.026,
2010-07,0.025,
2010-10,0.025,
2011-01,0.024,
2011-04,0.028,
2011-07,0.035,
2011-10,0.037,
2012-01,0.029,
2012-04,0.024,
2012-07,0.023,
2012-10,0.031,
2013-01,0.022,
2013-04,0.022,
2013-07,0.021,
2013-10,0.021,
2014-01,0.016,
2014-04,0.016,
2014-07,0.017,
