"",BBK01.OELI08S,BBK01.OELI08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:14,
2002-01,1.626,
2002-04,1.610,
2002-07,1.628,
2002-10,1.722,
2003-01,1.765,
2003-04,1.747,
2003-07,1.759,
2003-10,1.805,
2004-01,1.820,
2004-04,1.802,
2004-07,1.786,
2004-10,1.786,
2005-01,1.759,
2005-04,1.744,
2005-07,1.745,
2005-10,1.781,
2006-01,1.782,
2006-04,1.733,
2006-07,1.706,
2006-10,1.693,
2007-01,1.638,
2007-04,1.611,
2007-07,1.599,
2007-10,1.633,
2008-01,1.623,
2008-04,1.585,
2008-07,1.570,
2008-10,1.599,
2009-01,1.613,
2009-04,1.597,
2009-07,1.615,
2009-10,1.635,
2010-01,1.642,
2010-04,1.644,
2010-07,1.657,
2010-10,1.704,
2011-01,1.719,
2011-04,1.713,
2011-07,1.707,
2011-10,1.748,
2012-01,1.717,
2012-04,1.704,
2012-07,1.707,
2012-10,1.741,
2013-01,1.754,
2013-04,1.750,
2013-07,1.752,
2013-10,1.779,
2014-01,1.789,
2014-04,1.779,
2014-07,1.774,
