"",BBK01.OEYB01K,BBK01.OEYB01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:55,
2002-01,88.640,
2002-04,88.041,
2002-07,92.965,
2002-10,94.097,
2003-01,92.995,
2003-04,87.173,
2003-07,86.886,
2003-10,87.509,
2004-01,87.895,
2004-04,100.887,
2004-07,99.641,
2004-10,96.127,
2005-01,97.066,
2005-04,98.619,
2005-07,99.545,
2005-10,101.118,
2006-01,102.330,
2006-04,102.073,
2006-07,103.173,
2006-10,101.939,
2007-01,97.171,
2007-04,99.467,
2007-07,98.825,
2007-10,97.669,
2008-01,103.193,
2008-04,102.635,
2008-07,107.692,
2008-10,110.666,
2009-01,111.080,
2009-04,108.737,
2009-07,105.400,
2009-10,93.208,
2010-01,92.015,
2010-04,93.850,
2010-07,98.748,
2010-10,98.898,
2011-01,95.383,
2011-04,92.882,
2011-07,102.550,
2011-10,100.388,
2012-01,97.231,
2012-04,92.292,
2012-07,92.555,
2012-10,80.843,
2013-01,79.842,
2013-04,80.292,
2013-07,78.475,
2013-10,68.427,
2014-01,68.216,
2014-04,68.598,
2014-07,68.782,
