"",BBK01.OEAH24Q,BBK01.OEAH24Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:06,
2002-01,1.850,
2002-04,1.869,
2002-07,1.833,
2002-10,1.777,
2003-01,1.732,
2003-04,1.497,
2003-07,1.670,
2003-10,1.667,
2004-01,1.705,
2004-04,1.662,
2004-07,1.653,
2004-10,1.652,
2005-01,1.570,
2005-04,1.538,
2005-07,1.460,
2005-10,1.426,
2006-01,1.404,
2006-04,1.400,
2006-07,1.369,
2006-10,1.315,
2007-01,1.277,
2007-04,1.235,
2007-07,1.195,
2007-10,1.145,
2008-01,1.118,
2008-04,1.096,
2008-07,1.134,
2008-10,1.108,
2009-01,1.072,
2009-04,1.050,
2009-07,1.047,
2009-10,1.087,
2010-01,1.091,
2010-04,1.124,
2010-07,1.542,
2010-10,1.609,
2011-01,1.384,
2011-04,1.423,
2011-07,1.375,
2011-10,1.355,
2012-01,1.339,
2012-04,1.315,
2012-07,1.290,
2012-10,1.201,
2013-01,1.155,
2013-04,1.089,
2013-07,1.047,
2013-10,1.004,
2014-01,0.947,
2014-04,0.909,
2014-07,0.864,
