"",BBK01.OEBB24S,BBK01.OEBB24S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:49,
2002-01,0.976,
2002-04,0.979,
2002-07,0.991,
2002-10,1.054,
2003-01,1.056,
2003-04,1.065,
2003-07,1.057,
2003-10,1.110,
2004-01,1.107,
2004-04,1.092,
2004-07,1.144,
2004-10,1.173,
2005-01,1.298,
2005-04,1.303,
2005-07,1.308,
2005-10,1.276,
2006-01,1.275,
2006-04,1.251,
2006-07,1.253,
2006-10,1.234,
2007-01,1.190,
2007-04,1.176,
2007-07,1.153,
2007-10,1.075,
2008-01,1.049,
2008-04,1.026,
2008-07,0.973,
2008-10,0.909,
2009-01,0.900,
2009-04,0.896,
2009-07,0.905,
2009-10,0.788,
2010-01,0.779,
2010-04,0.773,
2010-07,0.773,
2010-10,0.772,
2011-01,0.766,
2011-04,0.786,
2011-07,0.783,
2011-10,0.778,
2012-01,0.776,
2012-04,0.768,
2012-07,0.783,
2012-10,0.773,
2013-01,0.773,
2013-04,0.753,
2013-07,0.741,
2013-10,0.724,
2014-01,0.695,
2014-04,0.688,
2014-07,0.660,
