"",BBDE1.M.DE.W.GUA1.N2G474000.A.V.I10.A,BBDE1.M.DE.W.GUA1.N2G474000.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 47.4 Retail sale of information and communication equipment in specialised stores / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:19:00,
1994-01,83.4,
1994-02,78.8,
1994-03,86.5,
1994-04,80.2,
1994-05,81.0,
1994-06,84.0,
1994-07,81.6,
1994-08,86.5,
1994-09,88.8,
1994-10,96.8,
1994-11,112.1,
1994-12,163.8,
1995-01,83.6,
1995-02,77.2,
1995-03,84.2,
1995-04,77.9,
1995-05,77.2,
1995-06,80.2,
1995-07,80.1,
1995-08,82.5,
1995-09,84.3,
1995-10,96.0,
1995-11,106.5,
1995-12,149.8,
1996-01,85.5,
1996-02,80.2,
1996-03,83.5,
1996-04,79.5,
1996-05,81.0,
1996-06,77.0,
1996-07,81.3,
1996-08,81.9,
1996-09,82.8,
1996-10,91.2,
1996-11,101.9,
1996-12,139.7,
1997-01,84.6,
1997-02,75.2,
1997-03,81.3,
1997-04,78.8,
1997-05,75.7,
1997-06,76.5,
1997-07,81.7,
1997-08,79.0,
1997-09,82.3,
1997-10,91.6,
1997-11,100.1,
1997-12,140.2,
1998-01,87.4,
1998-02,80.2,
1998-03,87.8,
1998-04,79.0,
1998-05,78.7,
1998-06,81.1,
1998-07,84.9,
1998-08,82.1,
1998-09,84.3,
1998-10,94.5,
1998-11,106.6,
1998-12,143.6,
1999-01,87.3,
1999-02,81.1,
1999-03,85.1,
1999-04,79.4,
1999-05,80.3,
1999-06,81.4,
1999-07,88.1,
1999-08,90.7,
1999-09,91.2,
1999-10,101.6,
1999-11,108.1,
1999-12,154.7,
2000-01,94.5,
2000-02,90.3,
2000-03,99.1,
2000-04,88.4,
2000-05,89.7,
2000-06,87.6,
2000-07,95.6,
2000-08,93.3,
2000-09,95.2,
2000-10,101.9,
2000-11,113.2,
2000-12,153.3,
2001-01,95.5,
2001-02,87.2,
2001-03,95.5,
2001-04,85.8,
2001-05,79.5,
2001-06,82.5,
2001-07,83.3,
2001-08,85.6,
2001-09,90.1,
2001-10,97.2,
2001-11,107.6,
2001-12,142.4,
2002-01,82.6,
2002-02,71.8,
2002-03,78.7,
2002-04,71.8,
2002-05,72.0,
2002-06,68.6,
2002-07,72.8,
2002-08,73.1,
2002-09,76.1,
2002-10,81.1,
2002-11,91.5,
2002-12,121.5,
2003-01,76.3,
2003-02,68.8,
2003-03,71.8,
2003-04,67.0,
2003-05,63.6,
2003-06,62.6,
2003-07,68.4,
2003-08,65.3,
2003-09,69.3,
2003-10,76.9,
2003-11,83.1,
2003-12,107.2,
2004-01,76.5,
2004-02,68.8,
2004-03,73.3,
2004-04,69.5,
2004-05,67.6,
2004-06,68.1,
2004-07,71.2,
2004-08,68.7,
2004-09,71.3,
2004-10,80.9,
2004-11,85.6,
2004-12,118.7,
2005-01,85.9,
2005-02,72.7,
2005-03,82.0,
2005-04,74.2,
2005-05,68.6,
2005-06,72.3,
2005-07,78.5,
2005-08,73.7,
2005-09,78.2,
2005-10,87.5,
2005-11,89.8,
2005-12,131.7,
2006-01,90.8,
2006-02,72.6,
2006-03,81.0,
2006-04,76.1,
2006-05,70.0,
2006-06,70.1,
2006-07,70.6,
2006-08,78.6,
2006-09,79.6,
2006-10,90.4,
2006-11,96.2,
2006-12,141.9,
2007-01,91.2,
2007-02,79.1,
2007-03,89.0,
2007-04,79.7,
2007-05,74.8,
2007-06,81.7,
2007-07,87.4,
2007-08,80.9,
2007-09,85.7,
2007-10,96.2,
2007-11,102.1,
2007-12,147.9,
2008-01,99.3,
2008-02,81.7,
2008-03,96.8,
2008-04,87.0,
2008-05,82.2,
2008-06,87.4,
2008-07,86.8,
2008-08,87.4,
2008-09,89.9,
2008-10,99.6,
2008-11,108.2,
2008-12,150.2,
2009-01,104.9,
2009-02,86.0,
2009-03,92.9,
2009-04,81.3,
2009-05,79.5,
2009-06,84.8,
2009-07,91.0,
2009-08,88.3,
2009-09,91.3,
2009-10,100.9,
2009-11,112.0,
2009-12,150.8,
2010-01,101.8,
2010-02,89.3,
2010-03,93.3,
2010-04,84.9,
2010-05,91.5,
2010-06,91.7,
2010-07,93.1,
2010-08,96.4,
2010-09,94.9,
2010-10,100.6,
2010-11,109.6,
2010-12,151.4,
2011-01,110.4,
2011-02,89.2,
2011-03,91.4,
2011-04,83.7,
2011-05,85.8,
2011-06,88.7,
2011-07,93.9,
2011-08,92.9,
2011-09,93.4,
2011-10,100.2,
2011-11,108.1,
2011-12,154.6,
2012-01,102.3,
2012-02,86.8,
2012-03,95.6,
2012-04,90.8,
2012-05,86.2,
2012-06,95.0,
2012-07,92.8,
2012-08,90.4,
2012-09,93.4,
2012-10,98.8,
2012-11,108.3,
2012-12,147.8,
2013-01,100.9,
2013-02,85.3,
2013-03,95.7,
2013-04,85.1,
2013-05,83.0,
2013-06,84.5,
2013-07,85.4,
2013-08,87.5,
2013-09,93.7,
2013-10,96.4,
2013-11,106.0,
2013-12,141.1,
2014-01,98.7,Provisional value
2014-02,82.7,Provisional value
2014-03,86.4,Provisional value
2014-04,82.9,Provisional value
2014-05,84.1,Provisional value
2014-06,83.2,Provisional value
2014-07,89.8,Provisional value
2014-08,84.4,Provisional value
2014-09,91.4,Provisional value
2014-10,99.3,Provisional value
2014-11,110.6,Provisional value
2014-12,148.6,Provisional value
