"",BBFI1.Q.N.DE.W1.S12T.S1.LE.A.FA.O.F89.T._T._X.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.A.FA.O.F89.T._T._X.N_FLAGS
"",IIP - Other Investment - Other accounts receivable/payable - Assets - Positions - Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:28,
1999-10,1855,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,1811,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,1463,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,1297,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,1235,
2004-01,1201,
2004-04,1270,
2004-07,1350,
2004-10,1426,
2005-01,1322,
2005-04,1291,
2005-07,1248,
2005-10,1302,
2006-01,1190,
2006-04,1190,
2006-07,1177,
2006-10,1324,
2007-01,1471,
2007-04,1460,
2007-07,1480,
2007-10,1393,
2008-01,1192,
2008-04,1277,
2008-07,1228,
2008-10,1183,
2009-01,1108,
2009-04,997,
2009-07,1003,
2009-10,1002,
2010-01,978,
2010-04,967,
2010-07,952,
2010-10,949,
2011-01,942,
2011-04,975,
2011-07,950,
2011-10,964,
2012-01,947,
2012-04,873,
2012-07,887,
2012-10,903,
2013-01,869,
2013-04,889,
2013-07,871,
2013-10,899,
2014-01,923,
2014-04,951,
2014-07,978,
