"",BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:06,
1991-01,129.074,
1991-04,-471.641,
1991-07,122.953,
1991-10,-0.153,
1992-01,15.269,
1992-04,165.345,
1992-07,-28.957,
1992-10,205.538,
1993-01,-132.118,
1993-04,499.670,
1993-07,771.379,
1993-10,220.957,
1994-01,-3.947,
1994-04,-354.115,
1994-07,551.321,
1994-10,621.749,
1995-01,-395.492,
1995-04,-211.087,
1995-07,48.457,
1995-10,901.822,
1996-01,-995.111,
1996-04,-20.779,
1996-07,419.927,
1996-10,2637.001,
1997-01,2258.810,
1997-04,464.947,
1997-07,613.366,
1997-10,1024.698,
1998-01,-109.665,
1998-04,2554.422,
1998-07,-6849.828,
1998-10,8283.476,
1999-01,-1462.410,
1999-04,3302.372,
1999-07,-2355.994,
1999-10,3651.094,
2000-01,2491.869,
2000-04,-431.730,
2000-07,5458.569,
2000-10,2636.952,
2001-01,-5794.066,
2001-04,-2222.693,
2001-07,5637.129,
2001-10,-1353.344,
2002-01,235.251,
2002-04,-5387.167,
2002-07,1527.157,
2002-10,174.002,
2003-01,-3125.580,
2003-04,-1032.357,
2003-07,-37.056,
2003-10,65.010,
2004-01,2985.528,
2004-04,1720.794,
2004-07,-2598.893,
2004-10,2401.631,
2005-01,5162.328,
2005-04,627.099,
2005-07,2896.206,
2005-10,-1361.834,
2006-01,858.010,
2006-04,-1984.441,
2006-07,118.015,
2006-10,361.440,
2007-01,2024.965,
2007-04,504.466,
2007-07,3296.773,
2007-10,-57.178,
2008-01,204.233,
2008-04,8826.379,
2008-07,-1495.057,
2008-10,-8667.266,
2009-01,-4031.306,
2009-04,9703.162,
2009-07,10342.760,
2009-10,3867.853,
2010-01,-3759.145,
2010-04,-586.634,
2010-07,2073.990,
2010-10,-7848.222,
2011-01,-492.344,
2011-04,-4452.803,
2011-07,3278.541,
2011-10,1189.947,
2012-01,5587.564,
2012-04,3403.634,
2012-07,6081.199,
2012-10,3840.215,
2013-01,2027.876,
2013-04,2892.974,
2013-07,2178.716,
2013-10,5218.118,
2014-01,2535.460,Provisional value
2014-04,4855.557,Provisional value
2014-07,3235.779,Provisional value
2014-10,3922.465,Provisional value
