"",BBK01.OEYB07V,BBK01.OEYB07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:02,
2002-01,1.282,
2002-04,1.086,
2002-07,1.103,
2002-10,1.352,
2003-01,1.193,
2003-04,1.171,
2003-07,1.140,
2003-10,1.212,
2004-01,1.249,
2004-04,1.396,
2004-07,1.501,
2004-10,1.476,
2005-01,1.425,
2005-04,1.326,
2005-07,0.996,
2005-10,0.939,
2006-01,0.866,
2006-04,0.906,
2006-07,0.934,
2006-10,1.006,
2007-01,0.889,
2007-04,0.850,
2007-07,0.882,
2007-10,0.867,
2008-01,0.755,
2008-04,0.182,
2008-07,0.192,
2008-10,0.124,
2009-01,0.122,
2009-04,0.177,
2009-07,0.161,
2009-10,0.264,
2010-01,0.141,
2010-04,0.200,
2010-07,0.194,
2010-10,0.241,
2011-01,0.248,
2011-04,0.267,
2011-07,0.276,
2011-10,0.286,
2012-01,0.288,
2012-04,0.329,
2012-07,0.285,
2012-10,0.244,
2013-01,0.212,
2013-04,0.228,
2013-07,0.197,
2013-10,0.211,
2014-01,0.203,
2014-04,0.194,
2014-07,0.180,
