"",BBK01.OEYB06K,BBK01.OEYB06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:57,
2002-01,5.781,
2002-04,5.406,
2002-07,5.589,
2002-10,6.541,
2003-01,5.743,
2003-04,6.193,
2003-07,5.405,
2003-10,6.870,
2004-01,7.047,
2004-04,5.937,
2004-07,4.336,
2004-10,3.837,
2005-01,3.866,
2005-04,3.979,
2005-07,3.809,
2005-10,3.448,
2006-01,3.477,
2006-04,3.730,
2006-07,3.765,
2006-10,4.548,
2007-01,3.892,
2007-04,3.389,
2007-07,3.717,
2007-10,3.682,
2008-01,4.237,
2008-04,4.421,
2008-07,4.451,
2008-10,5.038,
2009-01,4.791,
2009-04,4.677,
2009-07,4.517,
2009-10,4.154,
2010-01,4.162,
2010-04,4.137,
2010-07,4.637,
2010-10,4.124,
2011-01,4.001,
2011-04,3.862,
2011-07,4.758,
2011-10,5.042,
2012-01,5.085,
2012-04,4.728,
2012-07,4.612,
2012-10,3.882,
2013-01,3.779,
2013-04,3.861,
2013-07,4.243,
2013-10,3.921,
2014-01,3.775,
2014-04,3.983,
2014-07,3.786,
