"",BBSF2.M.1.S.00000.TOT01.I.F.INV.BE.00000.F05200.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.INV.BE.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Funds total / Investment fund shares / Belgium,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:55,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,-,Nothing exists
2010-07,10,
2010-08,10,
2010-09,10,
2010-10,10,
2010-11,11,
2010-12,11,
2011-01,11,
2011-02,14,
2011-03,16,
2011-04,12,
2011-05,12,
2011-06,10,
2011-07,10,
2011-08,9,
2011-09,9,
2011-10,10,
2011-11,9,
2011-12,10,
2012-01,11,
2012-02,11,
2012-03,11,
2012-04,11,
2012-05,11,
2012-06,11,
2012-07,11,
2012-08,11,
2012-09,11,
2012-10,11,
2012-11,12,
2012-12,12,
2013-01,12,
2013-02,13,
2013-03,13,
2013-04,13,
2013-05,14,
2013-06,13,
2013-07,13,
2013-08,13,
2013-09,14,
2013-10,14,
2013-11,15,
2013-12,15,
2014-01,15,
2014-02,15,
2014-03,15,
2014-04,15,
2014-05,15,
2014-06,16,
2014-07,16,
2014-08,16,
2014-09,16,
2014-10,19,
2014-11,20,
