"",BBK01.CEFN0I,BBK01.CEFN0I_FLAGS
"",Transferable deposits  debtor: Total   creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:38,
1999-01,240.3,
1999-04,255.2,
1999-07,256.6,
1999-10,263.6,
2000-01,273.3,
2000-04,267.9,
2000-07,262.4,
2000-10,268.8,
2001-01,277.7,
2001-04,291.4,
2001-07,301.7,
2001-10,330.4,
2002-01,335.4,
2002-04,349.2,
2002-07,347.2,
2002-10,364.5,
2003-01,377.8,
2003-04,388.9,
2003-07,392.8,
2003-10,400.5,
2004-01,410.4,
2004-04,418.8,
2004-07,417.9,
2004-10,428.1,
2005-01,436.5,
2005-04,447.4,
2005-07,450.5,
2005-10,462.9,
2006-01,464.5,
2006-04,469.8,
2006-07,457.4,
2006-10,465.0,
2007-01,465.9,
2007-04,478.7,
2007-07,477.9,
2007-10,487.2,
2008-01,483.1,
2008-04,481.2,
2008-07,477.8,
2008-10,511.0,
2009-01,561.3,
2009-04,594.6,
2009-07,620.0,
2009-10,653.8,
2010-01,672.5,
2010-04,694.0,
2010-07,698.9,
2010-10,715.7,
2011-01,716.6,
2011-04,725.1,
2011-07,730.8,
2011-10,749.5,
2012-01,762.9,
2012-04,786.9,
2012-07,812.3,
2012-10,843.3,
2013-01,864.5,
2013-04,890.6,
2013-07,907.1,
2013-10,934.0,
2014-01,944.9,
2014-04,966.2,
2014-07,978.9,
