"",BBK01.OEXJ01T,BBK01.OEXJ01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:27,
2002-01,0.413,
2002-04,0.472,
2002-07,0.467,
2002-10,0.484,
2003-01,0.484,
2003-04,0.497,
2003-07,0.464,
2003-10,0.525,
2004-01,0.501,
2004-04,0.559,
2004-07,0.539,
2004-10,0.531,
2005-01,0.508,
2005-04,0.529,
2005-07,0.542,
2005-10,0.550,
2006-01,0.550,
2006-04,0.569,
2006-07,0.582,
2006-10,0.631,
2007-01,0.679,
2007-04,0.649,
2007-07,0.690,
2007-10,0.786,
2008-01,0.780,
2008-04,0.778,
2008-07,0.857,
2008-10,0.830,
2009-01,0.947,
2009-04,1.036,
2009-07,1.196,
2009-10,1.227,
2010-01,1.199,
2010-04,1.243,
2010-07,1.207,
2010-10,1.151,
2011-01,1.094,
2011-04,1.156,
2011-07,1.215,
2011-10,1.150,
2012-01,1.219,
2012-04,1.228,
2012-07,1.330,
2012-10,1.158,
2013-01,1.198,
2013-04,1.166,
2013-07,1.220,
2013-10,1.211,
2014-01,1.185,
2014-04,1.246,
2014-07,1.239,
