"",BBK01.OEXM02G,BBK01.OEXM02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:34,
2002-01,0.265,
2002-04,0.375,
2002-07,0.469,
2002-10,0.460,
2003-01,0.629,
2003-04,0.554,
2003-07,0.558,
2003-10,0.618,
2004-01,0.612,
2004-04,0.898,
2004-07,0.898,
2004-10,0.593,
2005-01,0.413,
2005-04,0.481,
2005-07,0.138,
2005-10,0.352,
2006-01,0.420,
2006-04,0.310,
2006-07,0.258,
2006-10,0.368,
2007-01,0.295,
2007-04,0.239,
2007-07,0.192,
2007-10,0.255,
2008-01,0.101,
2008-04,0.129,
2008-07,0.140,
2008-10,0.365,
2009-01,0.216,
2009-04,0.211,
2009-07,0.144,
2009-10,0.119,
2010-01,0.092,
2010-04,0.048,
2010-07,0.451,
2010-10,0.054,
2011-01,0.232,
2011-04,0.377,
2011-07,0.146,
2011-10,0.105,
2012-01,0.295,
2012-04,0.438,
2012-07,0.310,
2012-10,0.199,
2013-01,0.077,
2013-04,0.204,
2013-07,0.094,
2013-10,0.061,
2014-01,0.043,
2014-04,0.058,
2014-07,0.106,
