"",BBK01.OEAE11J,BBK01.OEAE11J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:37,
2002-01,0.263,
2002-04,0.269,
2002-07,0.254,
2002-10,0.249,
2003-01,0.232,
2003-04,0.233,
2003-07,0.223,
2003-10,0.207,
2004-01,0.183,
2004-04,0.182,
2004-07,0.189,
2004-10,0.174,
2005-01,0.178,
2005-04,0.187,
2005-07,0.162,
2005-10,0.161,
2006-01,0.154,
2006-04,0.149,
2006-07,0.164,
2006-10,0.140,
2007-01,0.132,
2007-04,0.119,
2007-07,0.104,
2007-10,0.101,
2008-01,0.087,
2008-04,0.093,
2008-07,0.082,
2008-10,0.143,
2009-01,0.112,
2009-04,0.112,
2009-07,0.123,
2009-10,0.116,
2010-01,0.068,
2010-04,0.100,
2010-07,0.085,
2010-10,0.081,
2011-01,0.061,
2011-04,0.067,
2011-07,0.093,
2011-10,0.094,
2012-01,0.098,
2012-04,0.123,
2012-07,0.130,
2012-10,0.150,
2013-01,0.156,
2013-04,0.165,
2013-07,0.150,
2013-10,0.141,
2014-01,0.150,
2014-04,0.118,
2014-07,0.103,
