"",BBK01.OEXO02U,BBK01.OEXO02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:02,
2002-01,0.183,
2002-04,0.163,
2002-07,0.156,
2002-10,0.129,
2003-01,0.162,
2003-04,0.127,
2003-07,0.130,
2003-10,0.131,
2004-01,0.136,
2004-04,0.103,
2004-07,0.093,
2004-10,0.120,
2005-01,0.152,
2005-04,0.115,
2005-07,0.114,
2005-10,0.127,
2006-01,0.159,
2006-04,0.164,
2006-07,0.136,
2006-10,0.166,
2007-01,0.287,
2007-04,0.178,
2007-07,0.183,
2007-10,0.254,
2008-01,0.269,
2008-04,0.214,
2008-07,0.240,
2008-10,0.391,
2009-01,0.227,
2009-04,0.171,
2009-07,0.186,
2009-10,0.191,
2010-01,0.164,
2010-04,0.120,
2010-07,0.131,
2010-10,0.228,
2011-01,0.217,
2011-04,0.134,
2011-07,0.112,
2011-10,0.137,
2012-01,0.142,
2012-04,0.120,
2012-07,0.155,
2012-10,0.127,
2013-01,0.116,
2013-04,0.096,
2013-07,0.096,
2013-10,0.092,
2014-01,0.102,
2014-04,0.084,
2014-07,0.158,
