"",BBSF2.M.1.S.00000.IMM01.I.F.UBS.U201.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.UBS.U201.00000.000000.Z01.00_FLAGS
"","Special investors funds / Real estate funds / Properties / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:43,
2009-09,88,
2009-10,59,
2009-11,60,
2009-12,61,
2010-01,62,
2010-02,55,
2010-03,55,
2010-04,67,
2010-05,66,
2010-06,62,
2010-07,58,
2010-08,59,
2010-09,58,
2010-10,48,
2010-11,36,
2010-12,2,
2011-01,2,
2011-02,2,
2011-03,2,
2011-04,2,
2011-05,2,
2011-06,2,
2011-07,11,
2011-08,11,
2011-09,11,
2011-10,15,
2011-11,18,
2011-12,18,
2012-01,22,
2012-02,20,
2012-03,20,
2012-04,21,
2012-05,21,
2012-06,2,
2012-07,3,
2012-08,3,
2012-09,3,
2012-10,3,
2012-11,3,
2012-12,26,
2013-01,26,
2013-02,40,
2013-03,35,
2013-04,35,
2013-05,151,
2013-06,158,
2013-07,45,
2013-08,45,
2013-09,51,
2013-10,21,
2013-11,2,
2013-12,2,
2014-01,2,
2014-02,2,
2014-03,2,
2014-04,2,
2014-05,2,
2014-06,2,
2014-07,2,
2014-08,2,
2014-09,2,
2014-10,2,
2014-11,2,
