"",BBK01.OEAE13H,BBK01.OEAE13H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:07,
2002-01,6.149,
2002-04,6.090,
2002-07,6.301,
2002-10,6.419,
2003-01,6.010,
2003-04,6.156,
2003-07,5.927,
2003-10,6.149,
2004-01,5.638,
2004-04,5.140,
2004-07,5.108,
2004-10,5.514,
2005-01,5.096,
2005-04,4.883,
2005-07,4.171,
2005-10,3.821,
2006-01,3.368,
2006-04,3.275,
2006-07,3.165,
2006-10,2.977,
2007-01,2.704,
2007-04,2.652,
2007-07,2.734,
2007-10,3.938,
2008-01,3.570,
2008-04,3.416,
2008-07,3.824,
2008-10,2.526,
2009-01,2.059,
2009-04,1.918,
2009-07,1.956,
2009-10,1.804,
2010-01,1.750,
2010-04,1.563,
2010-07,1.726,
2010-10,1.833,
2011-01,1.741,
2011-04,1.674,
2011-07,1.669,
2011-10,1.467,
2012-01,1.544,
2012-04,1.296,
2012-07,1.389,
2012-10,1.318,
2013-01,1.277,
2013-04,1.226,
2013-07,1.334,
2013-10,1.411,
2014-01,1.459,
2014-04,1.528,
2014-07,1.453,
