"",BBFB1.Q.N.DE.F1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:02,
1991-01,1779.722,
1991-04,1743.081,
1991-07,1850.137,
1991-10,1603.796,
1992-01,1408.904,
1992-04,1194.342,
1992-07,1490.795,
1992-10,1164.192,
1993-01,1389.061,
1993-04,1307.307,
1993-07,1341.400,
1993-10,1537.749,
1994-01,1494.885,
1994-04,1814.022,
1994-07,1650.180,
1994-10,1785.066,
1995-01,1605.759,
1995-04,1635.826,
1995-07,1780.225,
1995-10,2192.643,
1996-01,1100.248,
1996-04,1832.950,
1996-07,1687.439,
1996-10,1898.895,
1997-01,1256.088,
1997-04,1699.767,
1997-07,2047.621,
1997-10,2191.843,
1998-01,1924.357,
1998-04,2130.456,
1998-07,2534.197,
1998-10,2580.811,
1999-01,2081.188,
1999-04,2173.816,
1999-07,2488.585,
1999-10,2494.446,
2000-01,1845.944,
2000-04,2453.481,
2000-07,2201.963,
2000-10,2596.357,
2001-01,2413.739,
2001-04,3031.626,
2001-07,2563.921,
2001-10,2593.285,
2002-01,2500.922,
2002-04,2737.809,
2002-07,2085.222,
2002-10,2297.544,
2003-01,2572.017,
2003-04,2683.944,
2003-07,2825.415,
2003-10,2648.369,
2004-01,2918.611,
2004-04,3361.487,
2004-07,3152.686,
2004-10,3109.332,
2005-01,3170.063,
2005-04,3434.267,
2005-07,3684.012,
2005-10,3682.818,
2006-01,3867.282,
2006-04,4137.592,
2006-07,4486.929,
2006-10,4773.370,
2007-01,4628.428,
2007-04,4720.119,
2007-07,4774.578,
2007-10,4832.042,
2008-01,5043.201,
2008-04,5670.865,
2008-07,5708.831,
2008-10,6033.627,
2009-01,4915.209,
2009-04,4466.888,
2009-07,4839.841,
2009-10,4764.531,
2010-01,4970.821,
2010-04,5373.908,
2010-07,5621.945,
2010-10,5578.533,
2011-01,5729.766,
2011-04,5764.813,
2011-07,5839.460,
2011-10,4858.291,
2012-01,5947.507,
2012-04,6500.954,
2012-07,6398.207,
2012-10,5970.592,
2013-01,6127.194,
2013-04,6209.432,
2013-07,6042.159,
2013-10,5509.148,
2014-01,5816.259,Provisional value
2014-04,6113.344,Provisional value
2014-07,5864.850,Provisional value
