"",BBK01.OEAA43U,BBK01.OEAA43U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:56,
2002-01,0.299,
2002-04,0.271,
2002-07,0.280,
2002-10,0.336,
2003-01,0.351,
2003-04,0.363,
2003-07,0.373,
2003-10,0.430,
2004-01,0.386,
2004-04,0.357,
2004-07,0.402,
2004-10,0.401,
2005-01,0.401,
2005-04,0.365,
2005-07,0.364,
2005-10,0.342,
2006-01,0.328,
2006-04,0.322,
2006-07,0.292,
2006-10,0.299,
2007-01,0.301,
2007-04,0.314,
2007-07,0.280,
2007-10,0.256,
2008-01,0.228,
2008-04,0.230,
2008-07,0.195,
2008-10,0.201,
2009-01,0.183,
2009-04,0.200,
2009-07,0.182,
2009-10,0.184,
2010-01,0.188,
2010-04,0.215,
2010-07,0.173,
2010-10,0.187,
2011-01,0.191,
2011-04,0.186,
2011-07,0.147,
2011-10,0.135,
2012-01,0.134,
2012-04,0.156,
2012-07,0.132,
2012-10,0.154,
2013-01,0.211,
2013-04,0.181,
2013-07,0.223,
2013-10,0.165,
2014-01,0.214,
2014-04,0.196,
2014-07,0.217,
