"",BBK01.OECL08S,BBK01.OECL08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:10,
2002-01,0.442,
2002-04,0.343,
2002-07,0.347,
2002-10,0.363,
2003-01,0.352,
2003-04,0.333,
2003-07,0.373,
2003-10,0.343,
2004-01,0.333,
2004-04,0.326,
2004-07,0.357,
2004-10,0.372,
2005-01,1.319,
2005-04,1.319,
2005-07,1.331,
2005-10,1.339,
2006-01,1.350,
2006-04,1.339,
2006-07,1.271,
2006-10,1.263,
2007-01,1.295,
2007-04,1.282,
2007-07,1.252,
2007-10,1.266,
2008-01,1.263,
2008-04,1.300,
2008-07,1.260,
2008-10,1.251,
2009-01,1.280,
2009-04,1.330,
2009-07,1.397,
2009-10,1.464,
2010-01,1.490,
2010-04,1.468,
2010-07,1.479,
2010-10,1.496,
2011-01,1.481,
2011-04,1.468,
2011-07,1.465,
2011-10,1.470,
2012-01,1.576,
2012-04,1.555,
2012-07,1.556,
2012-10,1.601,
2013-01,1.606,
2013-04,1.589,
2013-07,1.561,
2013-10,1.564,
2014-01,1.553,
2014-04,1.524,
2014-07,1.559,
