"",BBK01.OEAB09M,BBK01.OEAB09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:17,
2002-01,59.769,
2002-04,59.795,
2002-07,59.149,
2002-10,59.030,
2003-01,59.714,
2003-04,60.351,
2003-07,59.903,
2003-10,59.283,
2004-01,59.533,
2004-04,60.263,
2004-07,60.477,
2004-10,58.359,
2005-01,59.125,
2005-04,57.797,
2005-07,55.174,
2005-10,55.717,
2006-01,56.512,
2006-04,56.703,
2006-07,56.258,
2006-10,58.426,
2007-01,58.187,
2007-04,59.560,
2007-07,61.556,
2007-10,63.652,
2008-01,64.293,
2008-04,64.549,
2008-07,66.265,
2008-10,68.052,
2009-01,69.606,
2009-04,69.821,
2009-07,68.834,
2009-10,68.675,
2010-01,70.904,
2010-04,68.111,
2010-07,67.861,
2010-10,70.338,
2011-01,69.976,
2011-04,72.185,
2011-07,71.894,
2011-10,72.987,
2012-01,72.291,
2012-04,73.382,
2012-07,74.316,
2012-10,73.866,
2013-01,74.537,
2013-04,73.738,
2013-07,73.518,
2013-10,73.392,
2014-01,72.868,
2014-04,73.150,
2014-07,74.904,
