"",BBK01.OELJ07N,BBK01.OELJ07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:59,
2002-01,0.492,
2002-04,0.488,
2002-07,0.501,
2002-10,0.480,
2003-01,0.470,
2003-04,0.499,
2003-07,0.519,
2003-10,0.507,
2004-01,0.550,
2004-04,0.568,
2004-07,0.619,
2004-10,0.583,
2005-01,0.590,
2005-04,0.591,
2005-07,0.522,
2005-10,0.512,
2006-01,0.490,
2006-04,0.495,
2006-07,0.505,
2006-10,0.483,
2007-01,0.487,
2007-04,0.497,
2007-07,0.507,
2007-10,0.481,
2008-01,0.490,
2008-04,0.505,
2008-07,0.507,
2008-10,0.471,
2009-01,0.616,
2009-04,0.709,
2009-07,0.844,
2009-10,0.826,
2010-01,0.917,
2010-04,0.969,
2010-07,1.011,
2010-10,0.980,
2011-01,0.999,
2011-04,0.953,
2011-07,0.930,
2011-10,0.839,
2012-01,0.872,
2012-04,0.870,
2012-07,0.963,
2012-10,0.984,
2013-01,1.034,
2013-04,1.031,
2013-07,1.054,
2013-10,1.027,
2014-01,1.068,
2014-04,1.074,
2014-07,1.091,
