"",BBEX3.M.NPR.EUR.CA.AC.A01,BBEX3.M.NPR.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Nepal / EUR 1 = NPR ... (middle),
unit,NPR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:51,
1999-01,77.210,
1999-02,74.390,
1999-03,72.770,
1999-04,72.655,
1999-05,71.420,
1999-06,70.855,
1999-07,73.235,
1999-08,71.820,
1999-09,72.395,
1999-10,72.415,
1999-11,69.510,
1999-12,69.045,
2000-01,67.860,
2000-02,66.380,
2000-03,65.820,
2000-04,62.895,
2000-05,65.645,
2000-06,66.740,
2000-07,66.015,
2000-08,64.685,
2000-09,64.445,
2000-10,62.445,
2000-11,63.940,
2000-12,69.035,
2001-01,67.970,
2001-02,67.810,
2001-03,65.435,
2001-04,67.405,
2001-05,64.000,
2001-06,63.275,
2001-07,66.995,
2001-08,68.100,
2001-09,69.655,
2001-10,69.220,
2001-11,67.865,
2001-12,67.670,
2002-01,66.305,
2002-02,67.085,
2002-03,67.810,
2002-04,70.380,
2002-05,73.480,
2002-06,77.570,
2002-07,76.775,
2002-08,77.150,
2002-09,76.550,
2002-10,77.020,
2002-11,77.800,
2002-12,81.330,
2003-01,84.235,
2003-02,84.150,
2003-03,83.380,
2003-04,84.995,
2003-05,89.905,
2003-06,86.990,
2003-07,85.860,
2003-08,81.265,
2003-09,85.025,
2003-10,86.110,
2003-11,88.600,
2003-12,92.565,
2004-01,93.185,
2004-02,91.700,
2004-03,87.855,
2004-04,85.380,
2004-05,90.485,
2004-06,90.460,
2004-07,90.385,
2004-08,90.800,
2004-09,92.065,
2004-10,94.580,
2004-11,97.105,
2004-12,96.785,
2005-01,92.435,
2005-02,93.670,
2005-03,92.010,
2005-04,91.680,
2005-05,88.260,
2005-06,85.035,
2005-07,85.080,
2005-08,87.325,
2005-09,86.195,
2005-10,88.510,
2005-11,87.680,
2005-12,86.620,
2006-01,86.390,
2006-02,85.010,
2006-03,86.745,
2006-04,90.105,
2006-05,95.165,
2006-06,93.310,
2006-07,94.795,
2006-08,95.660,
2006-09,93.650,
2006-10,91.985,
2006-11,94.300,
2006-12,93.475,
2007-01,91.730,
2007-02,93.230,
2007-03,93.045,
2007-04,89.290,
2007-05,87.475,
2007-06,88.095,
2007-07,88.965,
2007-08,90.135,
2007-09,90.680,
2007-10,91.585,
2007-11,94.430,
2007-12,93.090,
2008-01,93.625,
2008-02,96.515,
2008-03,100.945,
2008-04,100.650,
2008-05,108.350,
2008-06,107.970,
2008-07,106.070,
2008-08,103.715,
2008-09,108.520,
2008-10,105.185,
2008-11,103.380,
2008-12,110.800,
2009-01,101.215,
2009-02,103.380,
2009-03,108.360,
2009-04,105.720,
2009-05,105.555,
2009-06,107.930,
2009-07,109.195,
2009-08,111.560,
2009-09,113.520,
2009-10,111.455,
2009-11,111.325,
2009-12,107.625,
2010-01,103.550,
2010-02,100.360,
2010-03,97.495,
2010-04,94.195,
2010-05,91.580,
2010-06,91.085,
2010-07,97.275,
2010-08,95.270,
2010-09,98.075,
2010-10,98.545,
2010-11,97.275,
2010-12,95.425,
2011-01,100.230,
2011-02,100.185,
2011-03,100.690,
2011-04,105.295,
2011-05,102.690,
2011-06,103.360,
2011-07,100.880,
2011-08,106.745,
2011-09,106.505,
2011-10,110.355,
2011-11,111.000,
2011-12,110.370,
2012-01,103.635,
2012-02,105.470,
2012-03,109.320,
2012-04,111.415,
2012-05,111.660,
2012-06,113.405,
2012-07,108.700,
2012-08,111.790,
2012-09,108.905,
2012-10,111.805,
2012-11,114.170,
2012-12,116.035,
2013-01,115.565,
2013-02,112.480,
2013-03,111.305,
2013-04,113.800,
2013-05,116.480,
2013-06,125.730,
2013-07,127.860,
2013-08,140.905,
2013-09,135.220,
2013-10,135.200,
2013-11,135.780,
2013-12,136.350,
2014-01,136.195,
2014-02,135.500,
2014-03,131.840,
2014-04,133.985,
2014-05,128.615,
2014-06,131.230,
2014-07,128.790,
2014-08,127.625,
2014-09,125.035,
2014-10,123.770,
2014-11,123.505,
2014-12,123.345,
2015-01,112.460,
"","Source: Calculated on the basis of buying and selling rates of the Nepal Rastra Bank, Kathmandu.",
