"",BBK01.OEAH58S,BBK01.OEAH58S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:26,
2002-01,4.908,
2002-04,5.009,
2002-07,4.991,
2002-10,5.189,
2003-01,5.158,
2003-04,5.145,
2003-07,5.128,
2003-10,5.282,
2004-01,5.318,
2004-04,5.338,
2004-07,5.330,
2004-10,5.490,
2005-01,5.730,
2005-04,5.724,
2005-07,5.708,
2005-10,5.892,
2006-01,5.840,
2006-04,5.750,
2006-07,5.703,
2006-10,5.776,
2007-01,5.752,
2007-04,5.812,
2007-07,5.838,
2007-10,5.890,
2008-01,5.853,
2008-04,5.876,
2008-07,5.836,
2008-10,6.180,
2009-01,6.585,
2009-04,7.001,
2009-07,7.069,
2009-10,7.346,
2010-01,7.615,
2010-04,7.889,
2010-07,7.849,
2010-10,8.030,
2011-01,7.893,
2011-04,7.980,
2011-07,8.028,
2011-10,8.294,
2012-01,8.230,
2012-04,8.386,
2012-07,8.643,
2012-10,8.927,
2013-01,9.093,
2013-04,9.268,
2013-07,9.313,
2013-10,9.528,
2014-01,9.615,
2014-04,9.830,
2014-07,10.017,
