"",BBDE1.M.DE.Y.AEA1.A2R290050.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2R290050.F.C.I10.A_FLAGS
"","Orders received / At constant prices / Germany / 29+30 Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:07,
1991-01,60.6,
1991-02,56.3,
1991-03,59.5,
1991-04,52.6,
1991-05,54.9,
1991-06,56.1,
1991-07,55.1,
1991-08,61.5,
1991-09,56.7,
1991-10,55.0,
1991-11,58.1,
1991-12,59.9,
1992-01,56.5,
1992-02,59.1,
1992-03,55.8,
1992-04,52.0,
1992-05,49.4,
1992-06,49.1,
1992-07,48.2,
1992-08,47.8,
1992-09,49.6,
1992-10,45.6,
1992-11,46.1,
1992-12,51.6,
1993-01,47.0,
1993-02,40.9,
1993-03,41.4,
1993-04,41.9,
1993-05,46.7,
1993-06,43.5,
1993-07,44.2,
1993-08,43.7,
1993-09,47.1,
1993-10,47.5,
1993-11,46.0,
1993-12,52.0,
1994-01,46.0,
1994-02,49.9,
1994-03,54.0,
1994-04,51.8,
1994-05,47.4,
1994-06,51.0,
1994-07,51.2,
1994-08,50.0,
1994-09,50.8,
1994-10,49.3,
1994-11,54.5,
1994-12,54.3,
1995-01,49.8,
1995-02,50.6,
1995-03,51.8,
1995-04,50.2,
1995-05,56.5,
1995-06,49.9,
1995-07,56.6,
1995-08,49.7,
1995-09,51.6,
1995-10,51.8,
1995-11,59.5,
1995-12,55.7,
1996-01,51.7,
1996-02,51.2,
1996-03,55.8,
1996-04,54.8,
1996-05,54.5,
1996-06,57.8,
1996-07,55.0,
1996-08,57.2,
1996-09,53.5,
1996-10,56.0,
1996-11,54.3,
1996-12,54.5,
1997-01,56.4,
1997-02,56.0,
1997-03,60.3,
1997-04,61.4,
1997-05,60.3,
1997-06,59.1,
1997-07,58.0,
1997-08,60.9,
1997-09,61.7,
1997-10,61.4,
1997-11,58.3,
1997-12,64.5,
1998-01,65.2,
1998-02,65.4,
1998-03,68.3,
1998-04,68.8,
1998-05,66.5,
1998-06,63.6,
1998-07,70.1,
1998-08,63.8,
1998-09,71.0,
1998-10,69.0,
1998-11,65.7,
1998-12,68.4,
1999-01,65.8,
1999-02,67.1,
1999-03,66.9,
1999-04,67.8,
1999-05,65.6,
1999-06,69.9,
1999-07,68.4,
1999-08,76.5,
1999-09,72.6,
1999-10,73.9,
1999-11,72.5,
1999-12,74.0,
2000-01,68.7,
2000-02,75.0,
2000-03,78.8,
2000-04,79.1,
2000-05,76.3,
2000-06,83.0,
2000-07,81.2,
2000-08,76.7,
2000-09,78.2,
2000-10,79.8,
2000-11,84.5,
2000-12,87.9,
2001-01,82.5,
2001-02,85.0,
2001-03,82.8,
2001-04,81.7,
2001-05,82.6,
2001-06,86.7,
2001-07,80.8,
2001-08,84.6,
2001-09,78.6,
2001-10,76.7,
2001-11,79.8,
2001-12,81.3,
2002-01,81.3,
2002-02,77.3,
2002-03,83.1,
2002-04,80.9,
2002-05,87.7,
2002-06,84.5,
2002-07,84.9,
2002-08,89.8,
2002-09,82.8,
2002-10,84.2,
2002-11,84.4,
2002-12,81.4,
2003-01,85.4,
2003-02,85.8,
2003-03,80.7,
2003-04,82.3,
2003-05,81.1,
2003-06,85.8,
2003-07,80.6,
2003-08,83.7,
2003-09,84.1,
2003-10,83.7,
2003-11,82.7,
2003-12,85.0,
2004-01,83.8,
2004-02,84.4,
2004-03,85.1,
2004-04,88.5,
2004-05,88.2,
2004-06,87.8,
2004-07,87.0,
2004-08,84.6,
2004-09,90.8,
2004-10,90.7,
2004-11,85.6,
2004-12,100.3,
2005-01,87.2,
2005-02,86.4,
2005-03,93.2,
2005-04,88.9,
2005-05,90.6,
2005-06,96.1,
2005-07,97.2,
2005-08,90.9,
2005-09,99.8,
2005-10,97.8,
2005-11,100.9,
2005-12,96.4,
