"",BBK01.OECB04T,BBK01.OECB04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:01,
2002-01,3.516,
2002-04,3.487,
2002-07,3.457,
2002-10,3.406,
2003-01,3.310,
2003-04,3.288,
2003-07,3.245,
2003-10,3.124,
2004-01,3.080,
2004-04,3.050,
2004-07,2.997,
2004-10,3.037,
2005-01,3.777,
2005-04,3.751,
2005-07,3.708,
2005-10,3.673,
2006-01,3.625,
2006-04,3.619,
2006-07,3.631,
2006-10,3.638,
2007-01,3.571,
2007-04,3.634,
2007-07,3.630,
2007-10,3.576,
2008-01,3.551,
2008-04,3.524,
2008-07,3.569,
2008-10,3.533,
2009-01,3.493,
2009-04,3.851,
2009-07,3.769,
2009-10,3.750,
2010-01,3.737,
2010-04,3.735,
2010-07,4.219,
2010-10,4.084,
2011-01,4.303,
2011-04,4.244,
2011-07,4.203,
2011-10,4.177,
2012-01,4.162,
2012-04,4.125,
2012-07,4.101,
2012-10,4.065,
2013-01,4.596,
2013-04,4.034,
2013-07,4.022,
2013-10,3.832,
2014-01,3.805,
2014-04,3.790,
2014-07,3.967,
