"",BBK01.OEAC48J,BBK01.OEAC48J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:43,
2002-01,0.399,
2002-04,0.407,
2002-07,0.468,
2002-10,0.516,
2003-01,0.567,
2003-04,0.543,
2003-07,0.537,
2003-10,0.566,
2004-01,0.600,
2004-04,0.600,
2004-07,0.589,
2004-10,0.586,
2005-01,0.765,
2005-04,0.754,
2005-07,0.766,
2005-10,0.769,
2006-01,0.763,
2006-04,0.773,
2006-07,0.787,
2006-10,0.790,
2007-01,0.810,
2007-04,0.841,
2007-07,0.862,
2007-10,0.858,
2008-01,0.853,
2008-04,0.918,
2008-07,0.925,
2008-10,0.961,
2009-01,1.018,
2009-04,1.029,
2009-07,1.044,
2009-10,1.061,
2010-01,0.213,
2010-04,1.114,
2010-07,1.085,
2010-10,1.148,
2011-01,1.185,
2011-04,1.166,
2011-07,1.222,
2011-10,1.314,
2012-01,1.148,
2012-04,1.228,
2012-07,1.299,
2012-10,1.357,
2013-01,1.469,
2013-04,1.431,
2013-07,1.417,
2013-10,1.438,
2014-01,1.432,
2014-04,1.512,
2014-07,1.539,
