"",BBFN1.M.DE.N.1.A.MX.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MX.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Mexico,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:38,
1982-09,0.062,
1982-10,0.062,
1982-11,0.062,
1982-12,0.056,
1983-01,0.054,
1983-02,0.054,
1983-03,0.054,
1983-04,0.054,
1983-05,0.060,
1983-06,0.066,
1983-07,0.061,
1983-08,0.061,
1983-09,0.061,
1983-10,0.061,
1983-11,0.061,
1983-12,0.035,
1984-01,0.034,
1984-02,0.035,
1984-03,0.034,
1984-04,0.035,
1984-05,0.035,
1984-06,0.035,
1984-07,0.037,
1984-08,0.037,
1984-09,0.039,
1984-10,0.039,
1984-11,0.039,
1984-12,0.042,
1985-01,0.042,
1985-02,0.042,
1985-03,0.042,
1985-04,0.042,
1985-05,0.042,
1985-06,0.042,
1985-07,0.042,
1985-08,0.034,
1985-09,0.034,
1985-10,0.034,
1985-11,0.033,
1985-12,0.038,
1986-01,0.038,
1986-02,0.038,
1986-03,0.038,
1986-04,0.037,
1986-05,0.037,
1986-06,0.034,
1986-07,0.034,
1986-08,0.034,
1986-09,0.034,
1986-10,0.034,
1986-11,0.034,
1986-12,0.028,
1987-01,0.028,
1987-02,0.028,
1987-03,0.028,
1987-04,0.029,
1987-05,0.029,
1987-06,0.029,
1987-07,0.027,
1987-08,0.027,
1987-09,0.027,
1987-10,0.027,
1987-11,0.027,
1987-12,0.022,
1988-01,0.019,
1988-02,0.019,
1988-03,0.019,
1988-04,0.018,
1988-05,0.018,
1988-06,0.018,
1988-07,0.018,
1988-08,0.018,
1988-09,0.017,
1988-10,0.016,
1988-11,0.015,
1988-12,0.015,
1989-01,0.015,
1989-02,0.015,
1989-03,0.015,
1989-04,0.014,
1989-05,0.014,
1989-06,0.014,
1989-07,0.014,
1989-08,0.014,
1989-09,0.014,
1989-10,0.014,
1989-11,0.017,
1989-12,0.018,
1990-01,0.018,
1990-02,0.018,
1990-03,0.021,
1990-04,0.024,
1990-05,0.027,
1990-06,0.027,
1990-07,0.027,
1990-08,0.027,
1990-09,0.031,
1990-10,0.030,
1990-11,0.030,
1990-12,0.038,
1991-01,0.043,
1991-02,0.040,
1991-03,0.040,
1991-04,0.040,
1991-05,0.040,
1991-06,0.048,
1991-07,0.048,
1991-08,0.048,
1991-09,0.048,
1991-10,0.053,
1991-11,0.051,
1991-12,0.068,
1992-01,0.066,
1992-02,0.066,
1992-03,0.066,
1992-04,0.067,
1992-05,0.074,
1992-06,0.077,
1992-07,0.077,
1992-08,0.077,
1992-09,0.077,
1992-10,0.087,
1992-11,0.087,
1992-12,0.122,
1993-01,0.123,
1993-02,0.126,
1993-03,0.126,
1993-04,0.127,
1993-05,0.125,
1993-06,0.124,
1993-07,0.124,
1993-08,0.137,
1993-09,0.137,
1993-10,0.135,
1993-11,0.134,
1993-12,0.120,
1994-01,0.123,
1994-02,0.124,
1994-03,0.129,
1994-04,0.129,
1994-05,0.137,
1994-06,0.136,
1994-07,0.136,
1994-08,0.138,
1994-09,0.137,
1994-10,0.137,
1994-11,0.134,
1994-12,0.131,
1995-01,0.144,
1995-02,0.144,
1995-03,0.145,
1995-04,0.151,
1995-05,0.149,
1995-06,0.145,
1995-07,0.141,
1995-08,0.144,
1995-09,0.143,
1995-10,0.144,
1995-11,0.143,
1995-12,0.133,
1996-01,0.133,
1996-02,0.132,
1996-03,0.133,
1996-04,0.135,
1996-05,0.136,
1996-06,0.135,
1996-07,0.135,
1996-08,0.135,
1996-09,0.133,
1996-10,0.134,
1996-11,0.131,
1996-12,0.120,
1997-01,0.120,
1997-02,0.118,
1997-03,0.117,
1997-04,0.165,
1997-05,0.211,
1997-06,0.208,
