"",BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA._T.FGED._Z._T._X.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA._T.FGED._Z._T._X.N_FLAGS
"",AVS - Gross external debt - Other sectors than MFIs and general government - Liabilities - Positions - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:45,
1999-10,239051,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,295616,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,342767,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,336207,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,353688,
2004-01,364905,
2004-04,359231,
2004-07,361105,
2004-10,361551,
2005-01,365521,
2005-04,379490,
2005-07,395377,
2005-10,389331,
2006-01,412172,
2006-04,433078,
2006-07,443814,
2006-10,457315,
2007-01,479743,
2007-04,506129,
2007-07,519506,
2007-10,495562,
2008-01,529445,
2008-04,551340,
2008-07,560540,
2008-10,598688,
2009-01,570075,
2009-04,556597,
2009-07,559357,
2009-10,582570,
2010-01,588359,
2010-04,621116,
2010-07,645764,
2010-10,648833,
2011-01,664302,
2011-04,677704,
2011-07,718180,
2011-10,694041,
2012-01,707546,
2012-04,726344,
2012-07,717687,
2012-10,539467,
2013-01,555069,
2013-04,557176,
2013-07,539641,
2013-10,508584,
2014-01,520033,
2014-04,533653,
2014-07,540442,
