"",BBK01.OEAE25M,BBK01.OEAE25M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:28,
2002-01,0.448,
2002-04,0.448,
2002-07,0.444,
2002-10,0.415,
2003-01,0.433,
2003-04,0.426,
2003-07,0.432,
2003-10,0.430,
2004-01,0.445,
2004-04,0.445,
2004-07,0.420,
2004-10,0.406,
2005-01,0.385,
2005-04,0.391,
2005-07,0.376,
2005-10,0.422,
2006-01,0.403,
2006-04,0.418,
2006-07,0.414,
2006-10,0.430,
2007-01,0.429,
2007-04,0.412,
2007-07,0.416,
2007-10,0.409,
2008-01,0.391,
2008-04,0.386,
2008-07,0.386,
2008-10,0.403,
2009-01,0.409,
2009-04,0.432,
2009-07,0.437,
2009-10,0.427,
2010-01,0.458,
2010-04,0.445,
2010-07,0.472,
2010-10,0.471,
2011-01,0.457,
2011-04,0.453,
2011-07,0.472,
2011-10,0.516,
2012-01,0.522,
2012-04,0.619,
2012-07,0.630,
2012-10,0.641,
2013-01,0.625,
2013-04,0.630,
2013-07,0.614,
2013-10,0.645,
2014-01,0.645,
2014-04,0.623,
2014-07,0.642,
