"",BBK01.OEBB02M,BBK01.OEBB02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:24,
2002-01,10.480,
2002-04,10.364,
2002-07,9.267,
2002-10,9.235,
2003-01,9.344,
2003-04,8.984,
2003-07,8.403,
2003-10,7.695,
2004-01,8.048,
2004-04,8.217,
2004-07,7.775,
2004-10,8.053,
2005-01,8.269,
2005-04,8.199,
2005-07,8.007,
2005-10,7.956,
2006-01,8.420,
2006-04,8.259,
2006-07,8.156,
2006-10,8.214,
2007-01,8.140,
2007-04,8.470,
2007-07,7.914,
2007-10,9.351,
2008-01,10.368,
2008-04,10.375,
2008-07,10.246,
2008-10,11.791,
2009-01,11.412,
2009-04,10.653,
2009-07,8.674,
2009-10,8.495,
2010-01,9.166,
2010-04,8.007,
2010-07,8.104,
2010-10,8.094,
2011-01,8.500,
2011-04,9.009,
2011-07,8.842,
2011-10,8.545,
2012-01,9.202,
2012-04,8.930,
2012-07,8.515,
2012-10,7.576,
2013-01,8.558,
2013-04,8.807,
2013-07,8.578,
2013-10,7.731,
2014-01,8.377,
2014-04,8.506,
2014-07,8.824,
