"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.CA.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.CA.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Canada / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:57,
2009-09,513,
2009-10,504,
2009-11,587,
2009-12,618,
2010-01,698,
2010-02,657,
2010-03,650,
2010-04,711,
2010-05,815,
2010-06,840,
2010-07,745,
2010-08,806,
2010-09,867,
2010-10,845,
2010-11,896,
2010-12,855,
2011-01,828,
2011-02,841,
2011-03,818,
2011-04,776,
2011-05,805,
2011-06,810,
2011-07,860,
2011-08,957,
2011-09,994,
2011-10,1057,
2011-11,1085,
2011-12,1152,
2012-01,1180,
2012-02,1188,
2012-03,1162,
2012-04,1213,
2012-05,1292,
2012-06,1268,
2012-07,1339,
2012-08,1229,
2012-09,1197,
2012-10,1213,
2012-11,1274,
2012-12,1239,
2013-01,1106,
2013-02,1068,
2013-03,1103,
2013-04,1117,
2013-05,1077,
2013-06,1036,
2013-07,1131,
2013-08,1099,
2013-09,1114,
2013-10,1099,
2013-11,1104,
2013-12,1119,
2014-01,1397,
2014-02,1443,
2014-03,1442,
2014-04,1431,
2014-05,1637,
2014-06,1678,
2014-07,1734,
2014-08,1784,
2014-09,1897,
2014-10,1891,
2014-11,1954,
