"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.SE.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.SE.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Sweden / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:00,
2009-09,6258,
2009-10,6345,
2009-11,6226,
2009-12,6217,
2010-01,6035,
2010-02,6433,
2010-03,7030,
2010-04,7246,
2010-05,7122,
2010-06,7350,
2010-07,7310,
2010-08,7631,
2010-09,7518,
2010-10,7530,
2010-11,7445,
2010-12,7415,
2011-01,7341,
2011-02,7580,
2011-03,7513,
2011-04,7515,
2011-05,7747,
2011-06,7777,
2011-07,7908,
2011-08,7765,
2011-09,7711,
2011-10,7520,
2011-11,7444,
2011-12,8017,
2012-01,8460,
2012-02,8384,
2012-03,8617,
2012-04,8615,
2012-05,8712,
2012-06,9039,
2012-07,9470,
2012-08,9356,
2012-09,9155,
2012-10,8794,
2012-11,8819,
2012-12,8735,
2013-01,8225,
2013-02,8216,
2013-03,8499,
2013-04,8795,
2013-05,8754,
2013-06,8387,
2013-07,8163,
2013-08,8227,
2013-09,8103,
2013-10,8115,
2013-11,8013,
2013-12,7841,
2014-01,7759,
2014-02,7894,
2014-03,7855,
2014-04,7692,
2014-05,7613,
2014-06,7274,
2014-07,7183,
2014-08,7137,
2014-09,6949,
2014-10,6921,
2014-11,6963,
