"",BBFN1.M.DE.N.1.A.CA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Canada,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:29,
1994-07,0.442,
1994-08,0.500,
1994-09,0.528,
1994-10,0.516,
1994-11,0.553,
1994-12,0.531,
1995-01,0.525,
1995-02,0.508,
1995-03,0.528,
1995-04,0.537,
1995-05,0.571,
1995-06,0.560,
1995-07,0.583,
1995-08,0.528,
1995-09,0.540,
1995-10,0.513,
1995-11,0.527,
1995-12,0.495,
1996-01,0.503,
1996-02,0.499,
1996-03,0.567,
1996-04,0.572,
1996-05,0.558,
1996-06,0.526,
1996-07,0.503,
1996-08,0.485,
1996-09,0.485,
1996-10,0.493,
1996-11,0.492,
1996-12,0.505,
1997-01,0.525,
1997-02,0.568,
1997-03,0.592,
1997-04,0.583,
1997-05,0.603,
1997-06,0.612,
1997-07,0.604,
1997-08,0.576,
1997-09,0.621,
1997-10,0.651,
1997-11,0.668,
1997-12,0.710,
1998-01,0.711,
1998-02,0.725,
1998-03,0.745,
1998-04,0.807,
1998-05,0.753,
1998-06,0.745,
1998-07,0.725,
1998-08,0.715,
1998-09,0.789,
1998-10,0.773,
1998-11,0.789,
1998-12,0.751,
1999-01,0.836,
1999-02,0.853,
1999-03,0.895,
1999-04,0.953,
1999-05,0.858,
1999-06,0.896,
1999-07,0.941,
1999-08,0.979,
1999-09,0.936,
1999-10,1.014,
1999-11,1.010,
1999-12,0.955,
2000-01,0.983,
2000-02,1.031,
2000-03,1.164,
2000-04,1.141,
2000-05,1.142,
2000-06,1.078,
2000-07,1.168,
2000-08,1.176,
2000-09,1.243,
2000-10,1.182,
2000-11,1.214,
2000-12,1.159,
2001-01,1.249,
2001-02,1.103,
2001-03,1.174,
2001-04,1.178,
2001-05,1.152,
2001-06,1.090,
2001-07,1.035,
2001-08,1.038,
2001-09,1.065,
2001-10,1.129,
2001-11,1.074,
2001-12,1.120,
2002-01,1.043,
2002-02,1.062,
2002-03,1.049,
2002-04,1.139,
2002-05,1.127,
2002-06,1.138,
2002-07,1.317,
2002-08,1.342,
2002-09,1.284,
2002-10,1.303,
2002-11,1.361,
2002-12,1.298,
2003-01,1.220,
2003-02,1.256,
2003-03,1.341,
2003-04,1.308,
2003-05,1.233,
2003-06,1.357,
2003-07,1.412,
2003-08,1.377,
2003-09,1.007,
2003-10,1.008,
2003-11,0.986,
2003-12,1.064,
2004-01,0.780,
2004-02,0.776,
2004-03,0.882,
2004-04,0.930,
2004-05,0.871,
2004-06,0.927,
2004-07,0.910,
2004-08,1.089,
2004-09,1.114,
2004-10,1.146,
2004-11,1.131,
2004-12,0.814,
2005-01,0.816,
2005-02,0.835,
2005-03,0.976,
2005-04,0.935,
2005-05,0.934,
2005-06,0.973,
2005-07,0.946,
2005-08,0.898,
2005-09,0.943,
2005-10,0.936,
2005-11,1.021,
2005-12,0.904,
2006-01,0.940,
2006-02,0.938,
2006-03,1.062,
2006-04,1.143,
2006-05,1.037,
2006-06,1.074,
2006-07,0.964,
2006-08,0.926,
2006-09,1.065,
2006-10,1.012,
2006-11,1.028,
2006-12,0.938,
2007-01,1.031,
2007-02,1.057,
2007-03,1.095,
2007-04,1.209,
2007-05,1.078,
2007-06,1.069,
2007-07,1.048,
2007-08,1.094,
2007-09,1.202,
2007-10,1.130,
2007-11,1.124,
2007-12,0.926,
2008-01,1.021,
2008-02,1.000,
2008-03,1.158,
2008-04,1.231,
2008-05,1.118,
2008-06,1.132,
2008-07,1.080,
2008-08,1.027,
2008-09,1.122,
2008-10,1.149,
2008-11,1.132,
2008-12,1.045,
2009-01,1.047,
2009-02,0.983,
2009-03,1.083,
2009-04,1.219,
2009-05,1.057,
2009-06,1.007,
2009-07,1.034,
2009-08,0.952,
2009-09,0.957,
2009-10,0.966,
2009-11,0.983,
2009-12,0.922,
2010-01,0.919,
2010-02,0.907,
2010-03,1.004,
2010-04,0.968,
2010-05,0.967,
2010-06,1.029,
2010-07,1.086,
2010-08,1.133,
2010-09,1.175,
2010-10,1.192,
2010-11,1.249,
2010-12,1.191,
2011-01,1.278,
2011-02,1.352,
2011-03,1.372,
2011-04,1.165,
2011-05,1.216,
2011-06,1.071,
2011-07,1.090,
2011-08,1.056,
2011-09,1.145,
2011-10,1.211,
2011-11,1.089,
2011-12,1.010,
2012-01,1.090,
2012-02,1.262,
2012-03,1.200,
2012-04,1.231,
2012-05,1.242,
2012-06,1.198,
2012-07,1.219,
2012-08,1.221,
2012-09,1.204,
2012-10,1.276,
2012-11,1.197,
2012-12,1.099,
2013-01,1.264,
2013-02,1.315,
2013-03,1.357,
2013-04,1.408,
2013-05,1.471,
2013-06,1.326,
2013-07,1.331,
2013-08,1.252,
2013-09,1.310,
2013-10,1.314,
2013-11,1.465,
2013-12,1.304,
2014-01,1.297,
2014-02,1.376,
2014-03,1.379,
2014-04,1.424,
2014-05,1.321,
2014-06,1.356,
2014-07,1.246,
2014-08,1.275,
2014-09,1.370,
2014-10,1.376,
2014-11,1.346,
2014-12,1.269,
