"",BBK01.CELP02,BBK01.CELP02_FLAGS
"",Time deposits                                                    debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:40,
1999-01,-87.4,
1999-04,25.3,
1999-07,71.5,
1999-10,43.0,
2000-01,5.8,
2000-04,-13.2,
2000-07,36.1,
2000-10,90.5,
2001-01,-6.2,
2001-04,-12.5,
2001-07,41.3,
2001-10,51.0,
2002-01,-31.6,
2002-04,31.2,
2002-07,44.6,
2002-10,94.9,
2003-01,16.4,
2003-04,70.5,
2003-07,-42.3,
2003-10,70.9,
2004-01,-33.1,
2004-04,93.0,
2004-07,-3.1,
2004-10,134.7,
2005-01,-11.3,
2005-04,47.7,
2005-07,53.1,
2005-10,18.4,
2006-01,64.4,
2006-04,71.8,
2006-07,12.3,
2006-10,69.9,
2007-01,46.0,
2007-04,42.1,
2007-07,84.9,
2007-10,188.5,
2008-01,-56.2,
2008-04,28.1,
2008-07,148.6,
2008-10,58.2,
2009-01,-162.2,
2009-04,21.9,
2009-07,-164.0,
2009-10,16.0,
2010-01,-84.1,
2010-04,50.1,
2010-07,-178.5,
2010-10,-51.1,
2011-01,-83.9,
2011-04,12.2,
2011-07,54.0,
2011-10,17.3,
2012-01,-42.2,
2012-04,-25.6,
2012-07,-47.0,
2012-10,-105.0,
2013-01,-34.4,
2013-04,-4.1,
2013-07,-95.0,
2013-10,13.8,
2014-01,22.9,
2014-04,19.6,
2014-07,-37.8,
