"",BBDE1.M.DE.Y.AEA1.A2R130050.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2R130050.F.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / 13+14 Manufacture of textiles and wearing apparel / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:31,
1991-01,191.9,
1991-02,191.6,
1991-03,203.7,
1991-04,201.5,
1991-05,195.0,
1991-06,212.2,
1991-07,183.3,
1991-08,186.0,
1991-09,192.8,
1991-10,197.0,
1991-11,204.8,
1991-12,200.6,
1992-01,189.8,
1992-02,191.1,
1992-03,184.4,
1992-04,181.6,
1992-05,180.2,
1992-06,180.3,
1992-07,171.4,
1992-08,175.8,
1992-09,181.6,
1992-10,176.1,
1992-11,173.1,
1992-12,172.1,
1993-01,174.5,
1993-02,165.8,
1993-03,170.9,
1993-04,166.5,
1993-05,166.8,
1993-06,165.1,
1993-07,169.2,
1993-08,173.1,
1993-09,169.2,
1993-10,165.9,
1993-11,164.1,
1993-12,162.9,
1994-01,166.5,
1994-02,170.4,
1994-03,160.8,
1994-04,166.2,
1994-05,165.0,
1994-06,152.3,
1994-07,156.6,
1994-08,162.1,
1994-09,158.5,
1994-10,161.3,
1994-11,158.0,
1994-12,155.1,
1995-01,161.1,
1995-02,160.2,
1995-03,156.8,
1995-04,159.3,
1995-05,162.3,
1995-06,154.5,
1995-07,153.6,
1995-08,153.4,
1995-09,153.3,
1995-10,165.8,
1995-11,146.8,
1995-12,145.2,
1996-01,152.8,
1996-02,145.9,
1996-03,156.4,
1996-04,158.5,
1996-05,154.7,
1996-06,151.9,
1996-07,146.2,
1996-08,150.3,
1996-09,152.5,
1996-10,153.8,
1996-11,153.2,
1996-12,150.0,
1997-01,151.1,
1997-02,154.3,
1997-03,157.9,
1997-04,150.7,
1997-05,145.9,
1997-06,150.4,
1997-07,153.7,
1997-08,153.6,
1997-09,153.0,
1997-10,151.5,
1997-11,151.7,
1997-12,152.2,
1998-01,149.7,
1998-02,158.7,
1998-03,153.6,
1998-04,154.1,
1998-05,151.5,
1998-06,159.2,
1998-07,159.3,
1998-08,153.4,
1998-09,150.8,
1998-10,145.0,
1998-11,147.0,
1998-12,149.1,
1999-01,147.1,
1999-02,145.0,
1999-03,143.7,
1999-04,143.8,
1999-05,140.6,
1999-06,145.6,
1999-07,146.9,
1999-08,144.6,
1999-09,144.3,
1999-10,146.0,
1999-11,146.9,
1999-12,145.0,
2000-01,139.9,
2000-02,146.7,
2000-03,144.7,
2000-04,141.4,
2000-05,151.8,
2000-06,148.8,
2000-07,144.1,
2000-08,151.7,
2000-09,151.2,
2000-10,143.8,
2000-11,144.8,
2000-12,147.6,
2001-01,150.1,
2001-02,149.4,
2001-03,146.3,
2001-04,142.6,
2001-05,149.8,
2001-06,155.5,
2001-07,146.8,
2001-08,147.3,
2001-09,143.0,
2001-10,143.2,
2001-11,151.4,
2001-12,153.1,
2002-01,131.7,
2002-02,134.9,
2002-03,136.4,
2002-04,134.0,
2002-05,130.2,
2002-06,130.4,
2002-07,128.3,
2002-08,129.3,
2002-09,129.6,
2002-10,136.9,
2002-11,127.8,
2002-12,126.7,
2003-01,135.5,
2003-02,130.5,
2003-03,127.2,
2003-04,129.7,
2003-05,123.2,
2003-06,126.7,
2003-07,122.8,
2003-08,125.3,
2003-09,123.5,
2003-10,124.9,
2003-11,123.2,
2003-12,124.9,
2004-01,122.7,
2004-02,122.6,
2004-03,125.0,
2004-04,122.8,
2004-05,118.0,
2004-06,120.3,
2004-07,123.1,
2004-08,121.2,
2004-09,120.1,
2004-10,116.1,
2004-11,113.7,
2004-12,116.1,
2005-01,123.9,
2005-02,122.2,
2005-03,125.6,
2005-04,123.9,
2005-05,117.9,
2005-06,119.2,
2005-07,121.5,
2005-08,121.0,
2005-09,117.1,
2005-10,120.4,
2005-11,119.9,
2005-12,121.8,
2006-01,116.8,
2006-02,123.1,
2006-03,122.7,
2006-04,122.3,
2006-05,129.2,
2006-06,119.0,
2006-07,123.5,
2006-08,127.0,
2006-09,122.5,
2006-10,122.6,
2006-11,123.2,
2006-12,123.7,
2007-01,125.5,
2007-02,125.9,
2007-03,123.8,
2007-04,125.0,
2007-05,127.0,
2007-06,128.4,
2007-07,129.3,
2007-08,126.5,
2007-09,122.7,
2007-10,122.4,
2007-11,121.8,
2007-12,128.0,
2008-01,127.8,
2008-02,126.5,
2008-03,116.9,
2008-04,118.8,
2008-05,123.3,
2008-06,120.8,
2008-07,122.2,
2008-08,118.0,
2008-09,111.5,
2008-10,110.3,
2008-11,120.6,
2008-12,106.3,
2009-01,93.8,
2009-02,89.0,
2009-03,88.5,
2009-04,89.5,
2009-05,90.3,
2009-06,94.9,
2009-07,97.0,
2009-08,94.2,
2009-09,94.6,
2009-10,94.3,
2009-11,95.2,
2009-12,96.7,
2010-01,95.0,
2010-02,95.1,
2010-03,99.6,
2010-04,96.9,
2010-05,98.7,
2010-06,100.2,
2010-07,100.3,
2010-08,98.1,
2010-09,99.7,
2010-10,102.4,
2010-11,108.0,
2010-12,104.8,
2011-01,103.7,
2011-02,105.2,
2011-03,103.7,
2011-04,106.2,
2011-05,105.4,
2011-06,102.5,
2011-07,106.9,
2011-08,103.3,
2011-09,100.4,
2011-10,105.8,
2011-11,103.0,
2011-12,97.0,
2012-01,100.7,
2012-02,99.1,
2012-03,97.6,
2012-04,98.0,
2012-05,104.7,
2012-06,103.6,
2012-07,97.4,
2012-08,99.4,
2012-09,98.1,
2012-10,103.8,
2012-11,97.8,
2012-12,97.3,
2013-01,99.0,
2013-02,97.3,
2013-03,95.1,
2013-04,99.8,
2013-05,99.2,
2013-06,98.3,
2013-07,104.1,
2013-08,99.2,
2013-09,98.9,
2013-10,103.1,
2013-11,100.6,
2013-12,100.4,
2014-01,106.1,
2014-02,105.1,
2014-03,102.3,
2014-04,109.0,
2014-05,105.3,
2014-06,113.3,
2014-07,103.5,
2014-08,105.3,
2014-09,104.4,
2014-10,103.3,
2014-11,101.9,
2014-12,105.9,Provisional value
