"",BBDR1.Q.DE.N.VDP.VEHKW.P.I03.A,BBDR1.Q.DE.N.VDP.VEHKW.P.I03.A_FLAGS
"","Verband deutscher Pfandbriefbanken / Index for retail buildings, capital value / Germany / Unadjusted figure",
unit,2003=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 09:13:29,
2003-01,99.6,
2003-04,100.6,
2003-07,100.6,
2003-10,99.4,
2004-01,98.2,
2004-04,97.9,
2004-07,98.3,
2004-10,97.5,
2005-01,96.8,
2005-04,95.5,
2005-07,95.5,
2005-10,95.9,
2006-01,97.1,
2006-04,98.0,
2006-07,98.7,
2006-10,99.5,
2007-01,98.0,
2007-04,97.5,
2007-07,97.1,
2007-10,96.6,
2008-01,95.0,
2008-04,95.3,
2008-07,95.1,
2008-10,94.2,
2009-01,93.9,
2009-04,92.9,
2009-07,92.2,
2009-10,93.0,
2010-01,92.4,
2010-04,92.7,
2010-07,93.1,
2010-10,93.3,
2011-01,93.3,
2011-04,94.0,
2011-07,93.5,
2011-10,92.8,
2012-01,91.9,
2012-04,91.7,
2012-07,92.1,
2012-10,92.2,
2013-01,92.9,
2013-04,93.6,
2013-07,94.4,
2013-10,95.6,
2014-01,96.5,
2014-04,97.4,
2014-07,98.1,
