"",BBK01.OEXK05G,BBK01.OEXK05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:24,
2002-01,0.026,
2002-04,0.030,
2002-07,0.035,
2002-10,0.038,
2003-01,0.039,
2003-04,0.042,
2003-07,0.044,
2003-10,0.048,
2004-01,0.045,
2004-04,0.052,
2004-07,0.065,
2004-10,0.070,
2005-01,0.027,
2005-04,0.024,
2005-07,0.011,
2005-10,0.009,
2006-01,0.008,
2006-04,0.009,
2006-07,0.009,
2006-10,0.007,
2007-01,0.007,
2007-04,0.007,
2007-07,0.006,
2007-10,0.006,
2008-01,0.005,
2008-04,0.006,
2008-07,0.005,
2008-10,0.006,
2009-01,0.007,
2009-04,0.010,
2009-07,0.010,
2009-10,0.011,
2010-01,0.014,
2010-04,0.012,
2010-07,0.014,
2010-10,0.015,
2011-01,0.016,
2011-04,0.015,
2011-07,0.018,
2011-10,0.017,
2012-01,0.019,
2012-04,0.019,
2012-07,0.018,
2012-10,0.018,
2013-01,0.016,
2013-04,0.016,
2013-07,0.021,
2013-10,0.020,
2014-01,0.019,
2014-04,0.020,
2014-07,0.023,
