"",BBFB1.Q.N.DE.CA.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:46,
1991-01,-46.010,
1991-04,-43.939,
1991-07,-40.250,
1991-10,-38.898,
1992-01,-49.274,
1992-04,-48.912,
1992-07,-50.914,
1992-10,-56.859,
1993-01,-57.482,
1993-04,-49.017,
1993-07,-59.817,
1993-10,-61.613,
1994-01,-58.329,
1994-04,-69.838,
1994-07,-65.434,
1994-10,-65.378,
1995-01,-67.591,
1995-04,-67.736,
1995-07,-70.844,
1995-10,-70.881,
1996-01,-63.545,
1996-04,-69.119,
1996-07,-61.384,
1996-10,-66.681,
1997-01,-66.676,
1997-04,-69.364,
1997-07,-72.409,
1997-10,-80.345,
1998-01,-68.852,
1998-04,-50.847,
1998-07,-67.628,
1998-10,-71.577,
1999-01,-71.426,
1999-04,-63.051,
1999-07,-63.118,
1999-10,-86.608,
2000-01,-63.642,
2000-04,-66.295,
2000-07,-62.378,
2000-10,-68.181,
2001-01,-43.790,
2001-04,-68.709,
2001-07,-73.208,
2001-10,-74.005,
2002-01,-67.765,
2002-04,-72.901,
2002-07,-63.573,
2002-10,-86.763,
2003-01,-56.391,
2003-04,-69.430,
2003-07,-70.091,
2003-10,-97.171,
2004-01,-67.132,
2004-04,-58.361,
2004-07,-91.140,
2004-10,-50.167,
2005-01,-66.520,
2005-04,-68.476,
2005-07,-68.761,
2005-10,-70.013,
2006-01,-67.419,
2006-04,-51.544,
2006-07,-68.478,
2006-10,-74.882,
2007-01,-62.259,
2007-04,-61.091,
2007-07,-68.307,
2007-10,-77.800,
2008-01,-80.931,
2008-04,-64.776,
2008-07,-73.434,
2008-10,-80.169,
2009-01,-8.413,
2009-04,-56.315,
2009-07,-51.758,
2009-10,-77.494,
2010-01,-77.800,
2010-04,-103.851,
2010-07,-123.291,
2010-10,-117.021,
2011-01,-100.854,
2011-04,-62.389,
2011-07,-64.080,
2011-10,-65.670,
2012-01,-56.874,
2012-04,-51.813,
2012-07,-51.200,
2012-10,-61.816,
2013-01,-54.370,
2013-04,-50.214,
2013-07,-50.562,
2013-10,-59.660,
2014-01,-49.467,Provisional value
2014-04,-38.678,Provisional value
2014-07,-42.382,Provisional value
