"",BBK01.CEBQQ3,BBK01.CEBQQ3_FLAGS
"",short-term time deposits debtor: All sectors                    creditor:Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:53,
1991-01,127.2,
1991-04,111.3,
1991-07,103.2,
1991-10,121.1,
1992-01,112.9,
1992-04,97.8,
1992-07,90.2,
1992-10,112.1,
1993-01,112.5,
1993-04,118.8,
1993-07,122.0,
1993-10,159.2,
1994-01,129.8,
1994-04,112.2,
1994-07,111.3,
1994-10,139.3,
1995-01,125.3,
1995-04,140.4,
1995-07,148.3,
1995-10,154.7,
1996-01,141.7,
1996-04,142.7,
1996-07,137.6,
1996-10,167.7,
1997-01,165.6,
1997-04,167.6,
1997-07,171.0,
1997-10,195.7,
1998-01,178.7,
1998-04,184.0,
1998-07,170.1,
1998-10,226.4,
1999-01,199.4,
1999-04,195.0,
1999-07,211.0,
1999-10,227.8,
2000-01,216.8,
2000-04,221.2,
2000-07,245.0,
2000-10,253.7,
2001-01,264.3,
2001-04,247.2,
2001-07,266.9,
2001-10,289.0,
2002-01,279.9,
2002-04,288.9,
2002-07,327.6,
2002-10,351.9,
2003-01,373.1,
2003-04,400.8,
2003-07,366.1,
2003-10,391.0,
2004-01,396.6,
2004-04,428.9,
2004-07,423.5,
2004-10,505.6,
2005-01,496.4,
2005-04,509.0,
2005-07,527.1,
2005-10,532.1,
2006-01,555.0,
2006-04,581.5,
2006-07,567.3,
2006-10,575.1,
2007-01,559.9,
2007-04,586.1,
2007-07,614.5,
2007-10,638.8,
2008-01,599.8,
2008-04,589.4,
2008-07,601.0,
2008-10,553.3,
2009-01,480.6,
2009-04,451.9,
2009-07,409.7,
2009-10,460.3,
2010-01,429.7,
2010-04,450.9,
2010-07,429.6,
2010-10,382.9,
2011-01,336.4,
2011-04,329.3,
2011-07,325.8,
2011-10,343.9,
2012-01,316.1,
2012-04,287.0,
2012-07,280.2,
2012-10,281.4,
2013-01,265.9,
2013-04,266.5,
2013-07,330.3,
2013-10,342.9,
2014-01,377.3,
