"",BBK01.OEYB10M,BBK01.OEYB10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:19,
2002-01,4.030,
2002-04,4.614,
2002-07,5.007,
2002-10,4.345,
2003-01,4.506,
2003-04,4.533,
2003-07,4.549,
2003-10,4.313,
2004-01,4.281,
2004-04,4.669,
2004-07,4.922,
2004-10,4.384,
2005-01,5.179,
2005-04,5.531,
2005-07,3.790,
2005-10,3.507,
2006-01,3.596,
2006-04,4.120,
2006-07,4.054,
2006-10,4.548,
2007-01,4.188,
2007-04,4.672,
2007-07,5.267,
2007-10,4.841,
2008-01,4.995,
2008-04,4.721,
2008-07,4.414,
2008-10,4.132,
2009-01,4.787,
2009-04,4.532,
2009-07,4.911,
2009-10,4.102,
2010-01,4.643,
2010-04,3.252,
2010-07,3.202,
2010-10,3.975,
2011-01,3.833,
2011-04,5.191,
2011-07,4.098,
2011-10,4.890,
2012-01,3.630,
2012-04,3.408,
2012-07,3.848,
2012-10,3.588,
2013-01,3.875,
2013-04,3.410,
2013-07,3.341,
2013-10,3.741,
2014-01,3.455,
2014-04,3.534,
2014-07,4.137,
