"",BBK01.OEAE07H,BBK01.OEAE07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:05,
2002-01,14.992,
2002-04,14.981,
2002-07,14.892,
2002-10,15.055,
2003-01,14.831,
2003-04,14.680,
2003-07,14.641,
2003-10,14.738,
2004-01,14.385,
2004-04,14.301,
2004-07,14.136,
2004-10,14.004,
2005-01,13.520,
2005-04,13.427,
2005-07,13.157,
2005-10,13.225,
2006-01,12.989,
2006-04,12.814,
2006-07,12.664,
2006-10,12.475,
2007-01,12.215,
2007-04,12.049,
2007-07,11.993,
2007-10,11.823,
2008-01,11.505,
2008-04,11.473,
2008-07,11.268,
2008-10,10.907,
2009-01,10.833,
2009-04,9.500,
2009-07,9.289,
2009-10,9.048,
2010-01,8.978,
2010-04,8.870,
2010-07,8.811,
2010-10,8.783,
2011-01,8.614,
2011-04,8.725,
2011-07,8.939,
2011-10,9.103,
2012-01,9.147,
2012-04,11.742,
2012-07,11.401,
2012-10,11.656,
2013-01,11.698,
2013-04,11.754,
2013-07,11.651,
2013-10,11.710,
2014-01,11.518,
2014-04,11.549,
2014-07,11.528,
